carat,cut,color,clarity,depth,table,price,x,y,z,price_per_carat,price_per_carat_is_high
0.3,Very Good,I,SI1,63.0,57.0,684.45,4.28,4.32,2.71,1350.0,1
0.3,Good,I,SI1,63.2,55.0,684.45,4.25,4.29,2.7,1350.0,1
0.35,Ideal,I,VS1,60.9,57.0,932.8800000000001,4.54,4.59,2.78,1577.1428571428573,1
0.3,Premium,D,SI1,62.6,59.0,932.8800000000001,4.23,4.27,2.66,1840.0,1
0.3,Ideal,D,SI1,62.5,57.0,932.8800000000001,4.29,4.32,2.69,1840.0,1
0.3,Ideal,D,SI1,62.1,56.0,932.8800000000001,4.3,4.33,2.68,1840.0,1
0.42,Premium,I,SI2,61.5,59.0,932.8800000000001,4.78,4.84,2.96,1314.2857142857142,1
0.28,Ideal,G,VVS2,61.4,56.0,934.57,4.19,4.22,2.58,1974.9999999999998,1
0.32,Ideal,I,VVS1,62.0,55.3,934.57,4.39,4.42,2.73,1728.125,1
0.31,Very Good,G,SI1,63.3,57.0,934.57,4.33,4.3,2.73,1783.8709677419356,1
0.31,Premium,G,SI1,61.8,58.0,934.57,4.35,4.32,2.68,1783.8709677419356,1
0.24,Premium,E,VVS1,60.7,58.0,934.57,4.01,4.03,2.44,2304.166666666667,1
0.24,Very Good,D,VVS1,61.5,60.0,934.57,3.97,4.0,2.45,2304.166666666667,1
0.3,Very Good,H,SI1,63.1,56.0,936.2600000000001,4.29,4.27,2.7,1846.6666666666667,1
0.3,Premium,H,SI1,62.9,59.0,936.2600000000001,4.28,4.24,2.68,1846.6666666666667,1
0.3,Premium,H,SI1,62.5,57.0,936.2600000000001,4.29,4.25,2.67,1846.6666666666667,1
0.3,Good,H,SI1,63.7,57.0,936.2600000000001,4.28,4.26,2.72,1846.6666666666667,1
0.26,Very Good,F,VVS2,59.2,60.0,936.2600000000001,4.19,4.22,2.49,2130.7692307692305,1
0.26,Very Good,E,VVS2,59.9,58.0,936.2600000000001,4.15,4.23,2.51,2130.7692307692305,1
0.26,Very Good,D,VVS2,62.4,54.0,936.2600000000001,4.08,4.13,2.56,2130.7692307692305,1
0.26,Very Good,D,VVS2,62.8,60.0,936.2600000000001,4.01,4.05,2.53,2130.7692307692305,1
0.26,Very Good,E,VVS1,62.6,59.0,936.2600000000001,4.06,4.09,2.55,2130.7692307692305,1
0.26,Very Good,E,VVS1,63.4,59.0,936.2600000000001,4.0,4.04,2.55,2130.7692307692305,1
0.26,Very Good,D,VVS1,62.1,60.0,936.2600000000001,4.03,4.12,2.53,2130.7692307692305,1
0.26,Ideal,E,VVS2,62.9,58.0,936.2600000000001,4.02,4.06,2.54,2130.7692307692305,1
0.38,Ideal,I,SI2,61.6,56.0,936.2600000000001,4.65,4.67,2.87,1457.8947368421052,1
0.26,Good,E,VVS1,57.9,60.0,936.2600000000001,4.22,4.25,2.45,2130.7692307692305,1
0.24,Premium,G,VVS1,62.3,59.0,936.2600000000001,3.95,3.92,2.45,2308.3333333333335,1
0.24,Premium,H,VVS1,61.2,58.0,936.2600000000001,4.01,3.96,2.44,2308.3333333333335,1
0.24,Premium,H,VVS1,60.8,59.0,936.2600000000001,4.02,4.0,2.44,2308.3333333333335,1
0.24,Premium,H,VVS2,60.7,58.0,936.2600000000001,4.07,4.04,2.46,2308.3333333333335,1
0.32,Premium,I,SI1,62.9,58.0,936.2600000000001,4.35,4.33,2.73,1731.25,1
0.7,Ideal,E,SI1,62.5,57.0,4659.33,5.7,5.72,3.57,3938.571428571429,1
0.86,Fair,E,SI2,55.1,69.0,4659.33,6.45,6.33,3.52,3205.813953488372,1
0.7,Ideal,G,VS2,61.6,56.0,4659.33,5.7,5.67,3.5,3938.571428571429,1
0.71,Very Good,E,VS2,62.4,57.0,4662.710000000001,5.68,5.73,3.56,3885.9154929577467,1
0.78,Very Good,G,SI2,63.8,56.0,4662.710000000001,5.81,5.85,3.72,3537.179487179487,1
0.7,Good,E,VS2,57.5,58.0,4662.710000000001,5.85,5.9,3.38,3941.4285714285716,1
0.7,Good,F,VS1,59.4,62.0,4662.710000000001,5.71,5.76,3.4,3941.4285714285716,1
0.96,Fair,F,SI2,66.3,62.0,4662.710000000001,6.27,5.95,4.07,2873.9583333333335,1
0.73,Very Good,E,SI1,61.6,59.0,4664.400000000001,5.77,5.78,3.56,3780.8219178082195,1
0.8,Premium,H,SI1,61.5,58.0,4664.400000000001,5.97,5.93,3.66,3450.0,1
0.75,Very Good,D,SI1,63.2,56.0,4664.400000000001,5.8,5.75,3.65,3680.0,1
0.75,Premium,E,SI1,59.9,54.0,4664.400000000001,6.0,5.96,3.58,3680.0,1
0.74,Ideal,G,SI1,61.6,55.0,4664.400000000001,5.8,5.85,3.59,3729.7297297297296,1
0.75,Premium,G,VS2,61.7,58.0,4664.400000000001,5.85,5.79,3.59,3680.0,1
0.8,Ideal,I,VS1,62.9,56.0,4664.400000000001,5.94,5.87,3.72,3450.0,1
0.75,Ideal,G,SI1,62.2,55.0,4664.400000000001,5.87,5.8,3.63,3680.0,1
0.8,Premium,G,SI1,63.0,59.0,4664.400000000001,5.9,5.81,3.69,3450.0,1
0.74,Ideal,I,VVS2,62.3,55.0,4666.09,5.77,5.81,3.61,3731.0810810810813,1
0.81,Ideal,F,SI2,58.8,57.0,4666.09,6.14,6.11,3.6,3408.6419753086416,1
0.59,Ideal,E,VVS2,62.0,55.0,4666.09,5.38,5.43,3.35,4679.661016949153,1
0.8,Ideal,F,SI2,61.4,57.0,4666.09,5.96,6.0,3.67,3451.25,1
0.74,Ideal,E,SI2,62.2,56.0,4666.09,5.8,5.84,3.62,3731.0810810810813,1
0.9,Premium,I,VS2,63.0,58.0,4666.09,6.16,6.12,3.87,3067.777777777778,1
0.74,Very Good,G,SI1,62.2,59.0,4667.78,5.73,5.82,3.59,3732.4324324324325,1
0.73,Ideal,F,VS2,62.6,56.0,4667.78,5.77,5.74,3.6,3783.5616438356165,1
0.73,Ideal,F,VS2,62.7,53.0,4667.78,5.8,5.75,3.62,3783.5616438356165,1
0.8,Premium,F,SI2,61.7,58.0,4667.78,5.98,5.94,3.68,3452.5,1
0.71,Ideal,G,VS2,62.4,54.0,4667.78,5.72,5.76,3.58,3890.1408450704225,1
0.7,Ideal,E,VS2,60.7,58.0,4667.78,5.73,5.76,3.49,3945.714285714286,1
0.8,Ideal,F,SI2,59.9,59.0,4667.78,6.01,6.07,3.62,3452.5,1
0.71,Ideal,D,SI2,62.3,56.0,4667.78,5.73,5.69,3.56,3890.1408450704225,1
0.74,Ideal,E,SI1,62.3,54.0,4667.78,5.8,5.83,3.62,3732.4324324324325,1
0.7,Very Good,F,VS2,61.7,63.0,4667.78,5.64,5.61,3.47,3945.714285714286,1
0.7,Fair,F,VS2,64.5,57.0,4667.78,5.57,5.53,3.58,3945.714285714286,1
0.7,Fair,F,VS2,65.3,55.0,4667.78,5.63,5.58,3.66,3945.714285714286,1
0.7,Premium,F,VS2,61.6,60.0,4667.78,5.65,5.59,3.46,3945.714285714286,1
0.91,Premium,H,SI1,61.4,56.0,4669.47,6.09,5.97,3.7,3036.263736263736,1
0.61,Very Good,D,VVS2,59.6,57.0,4669.47,5.56,5.58,3.32,4529.508196721312,1
0.91,Fair,H,SI2,64.4,57.0,4669.47,6.11,6.09,3.93,3036.263736263736,1
0.91,Fair,H,SI2,65.7,60.0,4669.47,6.03,5.99,3.95,3036.263736263736,1
0.77,Ideal,H,VS2,62.0,56.0,4669.47,5.89,5.86,3.64,3588.311688311688,1
0.71,Very Good,D,SI1,63.6,58.0,4671.160000000001,5.64,5.68,3.6,3892.9577464788736,1
0.71,Ideal,D,SI1,61.9,59.0,4671.160000000001,5.69,5.72,3.53,3892.9577464788736,1
0.7,Very Good,E,VS2,62.6,60.0,4672.85,5.62,5.65,3.53,3950.0000000000005,1
0.77,Very Good,H,VS1,61.3,60.0,4672.85,5.88,5.9,3.61,3590.909090909091,1
0.63,Premium,E,VVS1,60.9,60.0,4672.85,5.52,5.55,3.37,4388.888888888889,1
0.71,Very Good,F,VS1,60.1,62.0,4672.85,5.74,5.77,3.46,3894.366197183099,1
0.71,Premium,F,VS1,61.8,59.0,4672.85,5.69,5.73,3.53,3894.366197183099,1
0.76,Ideal,H,SI1,61.2,57.0,4672.85,5.88,5.91,3.61,3638.157894736842,1
0.64,Ideal,G,VVS1,61.9,56.0,4674.54,5.53,5.56,3.43,4321.875,1
0.71,Premium,G,VS2,60.9,57.0,4674.54,5.78,5.75,3.51,3895.774647887324,1
0.71,Premium,G,VS2,59.8,56.0,4674.54,5.89,5.81,3.5,3895.774647887324,1
0.7,Very Good,D,VS2,61.8,55.0,4676.2300000000005,5.68,5.72,3.52,3952.857142857143,1
0.7,Very Good,F,VS1,60.0,57.0,4676.2300000000005,5.8,5.87,3.5,3952.857142857143,1
0.71,Ideal,D,SI2,61.6,55.0,4676.2300000000005,5.74,5.76,3.54,3897.1830985915494,1
0.7,Good,H,VVS2,62.1,64.0,4676.2300000000005,5.62,5.65,3.5,3952.857142857143,1
0.71,Very Good,G,VS1,63.3,59.0,4677.92,5.52,5.61,3.52,3898.5915492957747,1
0.73,Very Good,D,SI1,60.2,56.0,4677.92,5.83,5.87,3.52,3791.780821917808,1
0.7,Very Good,D,SI1,61.1,58.0,4677.92,5.66,5.73,3.48,3954.2857142857147,1
0.7,Ideal,E,SI1,60.9,57.0,4677.92,5.73,5.76,3.5,3954.2857142857147,1
0.71,Premium,D,SI2,61.7,59.0,4677.92,5.71,5.67,3.51,3898.5915492957747,1
0.74,Ideal,I,SI1,61.3,56.0,4679.610000000001,5.82,5.86,3.57,3741.891891891892,1
0.71,Premium,D,VS2,62.5,60.0,4681.3,5.65,5.61,3.52,3901.4084507042257,1
0.73,Premium,G,VS2,61.4,59.0,4681.3,5.83,5.76,3.56,3794.5205479452056,1
0.76,Very Good,F,SI1,62.9,57.0,4681.3,5.79,5.81,3.65,3644.736842105263,1
0.76,Ideal,D,SI2,62.4,57.0,4681.3,5.78,5.83,3.62,3644.736842105263,1
0.71,Ideal,F,SI1,60.7,56.0,4681.3,5.77,5.8,3.51,3901.4084507042257,1
0.73,Premium,G,VS2,60.7,58.0,4681.3,5.87,5.82,3.55,3794.5205479452056,1
0.73,Premium,G,VS1,61.5,58.0,4681.3,5.79,5.75,3.55,3794.5205479452056,1
0.73,Ideal,D,SI2,59.9,57.0,4681.3,5.92,5.89,3.54,3794.5205479452056,1
0.73,Premium,G,VS2,59.2,59.0,4681.3,5.92,5.87,3.49,3794.5205479452056,1
0.72,Very Good,H,VVS2,60.3,56.0,4682.990000000001,5.81,5.83,3.51,3848.6111111111113,1
0.73,Very Good,F,SI1,61.7,60.0,4682.990000000001,5.79,5.82,3.58,3795.8904109589043,1
0.71,Ideal,G,VS2,61.9,57.0,4682.990000000001,5.73,5.77,3.56,3902.816901408451,1
0.79,Ideal,F,SI2,61.9,55.0,4682.990000000001,5.97,5.92,3.68,3507.5949367088606,1
0.73,Very Good,H,VVS1,60.4,59.0,4684.68,5.83,5.89,3.54,3797.260273972603,1
0.8,Very Good,F,SI2,61.0,57.0,4684.68,6.01,6.03,3.67,3465.0,1
0.58,Ideal,G,VVS1,61.5,55.0,4684.68,5.39,5.44,3.33,4779.310344827587,1
0.58,Ideal,F,VVS1,61.7,56.0,4684.68,5.33,5.37,3.3,4779.310344827587,1
0.71,Good,E,VS2,59.2,61.0,4684.68,5.8,5.88,3.46,3904.2253521126763,1
0.75,Ideal,D,SI2,61.3,56.0,4686.37,5.85,5.89,3.6,3697.3333333333335,1
0.7,Premium,D,VS2,58.0,62.0,4686.37,5.87,5.78,3.38,3961.4285714285716,1
1.17,Very Good,J,I1,60.2,61.0,4688.06,6.83,6.9,4.13,2370.940170940171,1
0.6,Ideal,E,VS1,61.7,55.0,4688.06,5.41,5.44,3.35,4623.333333333334,1
0.7,Ideal,E,SI1,62.7,55.0,4688.06,5.68,5.74,3.58,3962.857142857143,1
0.83,Good,I,VS2,64.6,54.0,4688.06,5.85,5.88,3.79,3342.1686746987953,1
0.74,Very Good,F,VS2,61.3,61.0,4689.75,5.8,5.84,3.57,3750.0,1
0.72,Very Good,G,VS2,63.7,56.4,4691.4400000000005,5.62,5.69,3.61,3855.5555555555557,1
0.71,Premium,E,VS2,62.7,58.0,4691.4400000000005,5.74,5.68,3.58,3909.8591549295775,1
0.71,Ideal,E,VS2,62.2,57.0,4691.4400000000005,5.79,5.62,3.55,3909.8591549295775,1
0.54,Ideal,E,VVS2,61.6,56.0,4691.4400000000005,5.25,5.27,3.24,5140.74074074074,1
0.54,Ideal,E,VVS2,61.5,57.0,4691.4400000000005,5.24,5.26,3.23,5140.74074074074,1
0.72,Ideal,G,SI1,61.8,56.0,4691.4400000000005,5.72,5.75,3.55,3855.5555555555557,1
0.72,Ideal,G,SI1,60.7,56.0,4691.4400000000005,5.79,5.82,3.53,3855.5555555555557,1
0.72,Good,G,VS2,59.7,60.5,4691.4400000000005,5.8,5.84,3.47,3855.5555555555557,1
0.71,Ideal,G,SI1,60.5,56.0,4691.4400000000005,5.8,5.76,3.5,3909.8591549295775,1
0.7,Very Good,D,VS1,62.7,58.0,4693.13,5.66,5.73,3.57,3967.1428571428573,1
0.71,Premium,F,VS2,62.1,58.0,4693.13,5.67,5.7,3.53,3911.267605633803,1
0.71,Very Good,F,VS2,62.8,57.0,4693.13,5.64,5.69,3.56,3911.267605633803,1
0.71,Good,F,VS2,63.8,58.0,4693.13,5.61,5.64,3.59,3911.267605633803,1
0.71,Good,F,VS2,57.8,60.0,4693.13,5.87,5.9,3.4,3911.267605633803,1
0.7,Ideal,E,VS2,62.1,55.0,4693.13,5.7,5.67,3.53,3967.1428571428573,1
0.7,Premium,E,VS2,61.1,60.0,4693.13,5.71,5.64,3.47,3967.1428571428573,1
0.7,Premium,E,SI1,60.0,59.0,4693.13,5.79,5.75,3.46,3967.1428571428573,1
0.7,Premium,E,SI1,61.2,57.0,4693.13,5.73,5.68,3.49,3967.1428571428573,1
0.7,Premium,E,SI1,62.7,59.0,4693.13,5.67,5.63,3.54,3967.1428571428573,1
0.7,Premium,E,SI1,61.0,57.0,4693.13,5.73,5.68,3.48,3967.1428571428573,1
0.7,Premium,E,SI1,61.0,58.0,4693.13,5.78,5.72,3.51,3967.1428571428573,1
0.7,Ideal,E,SI1,61.4,57.0,4693.13,5.76,5.7,3.52,3967.1428571428573,1
0.72,Premium,F,SI1,61.8,61.0,4693.13,5.82,5.71,3.56,3856.944444444445,1
0.7,Very Good,E,SI1,59.9,63.0,4693.13,5.76,5.7,3.43,3967.1428571428573,1
0.7,Premium,E,SI1,61.3,58.0,4693.13,5.71,5.68,3.49,3967.1428571428573,1
0.7,Premium,E,SI1,60.5,58.0,4693.13,5.77,5.74,3.48,3967.1428571428573,1
0.7,Good,E,VS2,64.1,59.0,4693.13,5.64,5.59,3.6,3967.1428571428573,1
0.98,Fair,H,SI2,67.9,60.0,4693.13,6.05,5.97,4.08,2833.673469387755,1
0.78,Premium,F,SI1,62.4,58.0,4693.13,5.83,5.8,3.63,3560.25641025641,1
0.7,Very Good,E,SI1,63.2,60.0,4693.13,5.6,5.51,3.51,3967.1428571428573,1
0.52,Ideal,F,VVS1,61.3,55.0,4694.820000000001,5.19,5.22,3.19,5342.307692307692,1
0.73,Very Good,H,VS2,60.8,56.0,4696.51,5.82,5.84,3.55,3806.849315068493,1
0.74,Ideal,E,SI1,61.7,56.0,4696.51,5.84,5.8,3.59,3755.4054054054054,1
0.7,Very Good,F,VS2,63.6,57.0,4698.2,5.61,5.65,3.58,3971.4285714285716,1
0.77,Premium,G,VS2,61.2,58.0,4698.2,5.9,5.93,3.62,3610.3896103896104,1
0.71,Ideal,F,VS2,62.1,54.0,4698.2,5.68,5.72,3.54,3915.492957746479,1
0.74,Ideal,G,VS1,61.5,55.0,4698.2,5.81,5.86,3.59,3756.7567567567567,1
0.7,Ideal,G,VS1,61.4,59.0,4698.2,5.64,5.73,3.49,3971.4285714285716,1
1.01,Premium,F,I1,61.8,60.0,4699.89,6.39,6.36,3.94,2753.4653465346532,1
0.77,Ideal,H,SI1,62.2,56.0,4699.89,5.83,5.88,3.64,3611.6883116883114,1
0.78,Ideal,H,SI1,61.2,56.0,4699.89,5.92,5.99,3.64,3565.3846153846152,1
0.72,Very Good,H,VS1,60.6,63.0,4701.58,5.83,5.76,3.51,3863.888888888889,1
0.53,Very Good,D,VVS2,57.5,64.0,4701.58,5.34,5.37,3.08,5249.056603773584,1
0.76,Ideal,G,VS2,61.3,56.0,4701.58,5.9,5.94,3.63,3660.5263157894738,1
0.7,Good,E,VS1,57.2,62.0,4701.58,5.81,5.77,3.31,3974.2857142857147,1
0.7,Premium,E,VS1,62.9,60.0,4701.58,5.62,5.54,3.51,3974.2857142857147,1
0.75,Very Good,D,SI2,63.1,58.0,4701.58,5.78,5.73,3.63,3709.3333333333335,1
0.72,Ideal,D,SI1,60.8,57.0,4701.58,5.76,5.75,3.5,3863.888888888889,1
0.72,Premium,D,SI1,62.7,59.0,4701.58,5.73,5.69,3.58,3863.888888888889,1
0.7,Premium,D,SI1,62.8,60.0,4701.58,5.68,5.66,3.56,3974.2857142857147,1
0.84,Fair,G,SI1,55.1,67.0,4701.58,6.39,6.2,3.47,3311.904761904762,1
0.75,Premium,F,SI1,61.4,59.0,4701.58,5.88,5.85,3.6,3709.3333333333335,1
0.52,Ideal,F,IF,62.2,55.0,4703.27,5.14,5.18,3.21,5351.923076923077,1
0.72,Very Good,F,VS2,63.0,54.0,4704.960000000001,5.69,5.73,3.6,3866.666666666667,1
0.79,Very Good,H,VS1,63.7,56.0,4704.960000000001,5.85,5.92,3.75,3524.0506329113923,1
0.72,Very Good,F,VS2,63.6,58.0,4710.03,5.66,5.69,3.61,3870.8333333333335,1
0.51,Ideal,F,VVS1,62.0,57.0,4710.03,5.11,5.15,3.18,5464.705882352941,1
0.64,Ideal,D,VS1,61.5,56.0,4710.03,5.54,5.55,3.41,4354.6875,1
0.7,Very Good,H,VVS1,60.5,60.0,4711.72,5.74,5.77,3.48,3982.857142857143,1
0.83,Very Good,I,VS1,61.1,60.0,4711.72,6.07,6.1,3.72,3359.0361445783133,1
0.76,Ideal,I,VVS2,61.8,56.0,4711.72,5.85,5.87,3.62,3668.4210526315787,1
0.71,Good,D,VS2,63.3,56.0,4711.72,5.64,5.68,3.58,3926.760563380282,1
0.77,Good,G,VS1,59.4,64.0,4711.72,5.97,5.92,3.53,3620.779220779221,1
0.71,Ideal,F,SI1,62.5,55.0,4711.72,5.71,5.65,3.55,3926.760563380282,1
1.01,Fair,E,I1,64.5,58.0,4711.72,6.29,6.21,4.03,2760.39603960396,1
1.01,Premium,H,SI2,62.7,59.0,4711.72,6.31,6.22,3.93,2760.39603960396,1
0.77,Good,F,SI1,64.2,52.0,4713.410000000001,5.81,5.77,3.72,3622.077922077922,1
0.76,Good,E,SI1,63.7,54.0,4713.410000000001,5.76,5.85,3.7,3669.736842105263,1
0.76,Premium,E,SI1,60.4,58.0,4713.410000000001,5.92,5.94,3.58,3669.736842105263,1
0.76,Premium,E,SI1,61.8,58.0,4713.410000000001,5.82,5.86,3.61,3669.736842105263,1
1.05,Very Good,J,SI2,63.2,56.0,4713.410000000001,6.49,6.45,4.09,2656.190476190476,1
0.81,Ideal,G,SI2,61.6,56.0,4713.410000000001,5.97,6.01,3.69,3443.2098765432097,1
0.7,Ideal,E,SI1,61.6,56.0,4713.410000000001,5.72,5.75,3.53,3984.2857142857147,1
0.55,Ideal,G,IF,60.9,57.0,4713.410000000001,5.28,5.3,3.22,5070.90909090909,1
0.81,Good,G,SI2,61.0,61.0,4713.410000000001,5.94,5.99,3.64,3443.2098765432097,1
0.63,Premium,E,VVS2,62.1,57.0,4713.410000000001,5.48,5.41,3.38,4426.984126984127,1
0.63,Premium,E,VVS1,60.9,60.0,4713.410000000001,5.55,5.52,3.37,4426.984126984127,1
0.77,Premium,H,VS1,61.3,60.0,4713.410000000001,5.9,5.88,3.61,3622.077922077922,1
1.05,Fair,J,SI2,65.8,59.0,4713.410000000001,6.41,6.27,4.18,2656.190476190476,1
0.64,Ideal,G,IF,61.3,56.0,4715.1,5.54,5.58,3.41,4359.375,1
0.76,Premium,I,VVS1,58.8,59.0,4715.1,6.0,5.94,3.51,3671.0526315789475,1
0.83,Ideal,F,SI2,62.3,55.0,4715.1,6.02,6.05,3.76,3361.4457831325303,1
0.71,Premium,F,VS1,60.1,62.0,4715.1,5.77,5.74,3.46,3929.5774647887324,1
0.71,Premium,F,VS1,61.8,59.0,4715.1,5.73,5.69,3.53,3929.5774647887324,1
0.87,Very Good,I,SI1,63.6,55.8,4716.79,6.07,6.1,3.87,3208.0459770114944,1
0.73,Ideal,E,SI1,62.2,56.0,4716.79,5.74,5.78,3.58,3823.2876712328766,1
0.71,Premium,E,SI1,59.2,59.0,4718.4800000000005,5.83,5.86,3.46,3932.3943661971834,1
0.71,Premium,E,SI1,61.8,59.0,4718.4800000000005,5.7,5.75,3.54,3932.3943661971834,1
0.71,Ideal,E,SI1,61.3,55.0,4718.4800000000005,5.72,5.77,3.52,3932.3943661971834,1
0.7,Premium,F,VS1,62.1,60.0,4718.4800000000005,5.71,5.65,3.53,3988.571428571429,1
0.7,Premium,F,VS1,60.7,60.0,4718.4800000000005,5.78,5.75,3.5,3988.571428571429,1
0.76,Premium,H,VVS2,59.6,57.0,4718.4800000000005,5.91,5.86,3.51,3673.684210526316,1
0.7,Ideal,F,VS1,62.2,56.0,4718.4800000000005,5.73,5.68,3.55,3988.571428571429,1
0.79,Very Good,G,SI1,60.6,57.0,4720.17,5.98,6.06,3.65,3535.443037974683,1
0.7,Very Good,E,VS2,62.9,57.0,4720.17,5.66,5.69,3.57,3990.0000000000005,1
0.7,Good,E,VS2,64.1,55.0,4720.17,5.6,5.66,3.61,3990.0000000000005,1
0.76,Ideal,I,VS2,61.3,56.0,4720.17,5.87,5.91,3.61,3675.0,1
