"Statistic Label","Quarter","Sex","Domestic","UNIT","VALUE"
"Number of Trips by Irish Residents","2001Q2","Female","Domestic","Thousand","723"
"Number of Trips by Irish Residents","2001Q2","Female","Outbound","Thousand","582"
"Number of Trips by Irish Residents","2001Q3","Both sexes","Domestic","Thousand","2128"
"Number of Trips by Irish Residents","2001Q3","Both sexes","Outbound","Thousand","1380"
"Number of Trips by Irish Residents","2001Q3","Male","Domestic","Thousand","1030"
"Number of Trips by Irish Residents","2001Q3","Male","Outbound","Thousand","666"
"Number of Trips by Irish Residents","2001Q3","Female","Domestic","Thousand","1098"
"Number of Trips by Irish Residents","2001Q3","Female","Outbound","Thousand","713"
"Number of Trips by Irish Residents","2001Q4","Both sexes","Domestic","Thousand","1570"
"Number of Trips by Irish Residents","2001Q4","Both sexes","Outbound","Thousand","903"
"Number of Trips by Irish Residents","2001Q4","Male","Domestic","Thousand","773"
"Number of Trips by Irish Residents","2001Q4","Male","Outbound","Thousand","480"
"Number of Trips by Irish Residents","2001Q4","Female","Domestic","Thousand","797"
"Number of Trips by Irish Residents","2001Q4","Female","Outbound","Thousand","423"
"Number of Trips by Irish Residents","2002Q1","Both sexes","Domestic","Thousand","1360"
"Number of Trips by Irish Residents","2002Q1","Both sexes","Outbound","Thousand","884"
"Number of Trips by Irish Residents","2002Q1","Male","Domestic","Thousand","661"
"Number of Trips by Irish Residents","2002Q1","Male","Outbound","Thousand","477"
"Number of Trips by Irish Residents","2002Q1","Female","Domestic","Thousand","700"
"Number of Trips by Irish Residents","2002Q1","Female","Outbound","Thousand","407"
"Number of Trips by Irish Residents","2002Q2","Both sexes","Domestic","Thousand","1446"
"Number of Trips by Irish Residents","2002Q2","Both sexes","Outbound","Thousand","1177"
"Number of Trips by Irish Residents","2002Q2","Male","Domestic","Thousand","708"
"Number of Trips by Irish Residents","2002Q2","Male","Outbound","Thousand","571"
"Number of Trips by Irish Residents","2002Q2","Female","Domestic","Thousand","738"
"Number of Trips by Irish Residents","2002Q2","Female","Outbound","Thousand","605"
"Number of Trips by Irish Residents","2002Q3","Both sexes","Domestic","Thousand","2070"
"Number of Trips by Irish Residents","2002Q3","Both sexes","Outbound","Thousand","1539"
"Number of Trips by Irish Residents","2002Q3","Male","Domestic","Thousand","1008"
"Number of Trips by Irish Residents","2002Q3","Male","Outbound","Thousand","737"
"Number of Trips by Irish Residents","2002Q3","Female","Domestic","Thousand","1062"
"Number of Trips by Irish Residents","2002Q3","Female","Outbound","Thousand","802"
"Number of Trips by Irish Residents","2002Q4","Both sexes","Domestic","Thousand","1575"
"Number of Trips by Irish Residents","2002Q4","Both sexes","Outbound","Thousand","997"
"Number of Trips by Irish Residents","2002Q4","Male","Domestic","Thousand","766"
"Number of Trips by Irish Residents","2002Q4","Male","Outbound","Thousand","498"
"Number of Trips by Irish Residents","2002Q4","Female","Domestic","Thousand","809"
"Number of Trips by Irish Residents","2002Q4","Female","Outbound","Thousand","499"
"Number of Trips by Irish Residents","2003Q1","Both sexes","Domestic","Thousand","1447"
"Number of Trips by Irish Residents","2003Q1","Both sexes","Outbound","Thousand","954"
"Number of Trips by Irish Residents","2003Q1","Male","Domestic","Thousand","697"
"Number of Trips by Irish Residents","2003Q1","Male","Outbound","Thousand","500"
"Number of Trips by Irish Residents","2003Q1","Female","Domestic","Thousand","750"
"Number of Trips by Irish Residents","2003Q1","Female","Outbound","Thousand","453"
"Number of Trips by Irish Residents","2003Q2","Both sexes","Domestic","Thousand","1509"
"Number of Trips by Irish Residents","2003Q2","Both sexes","Outbound","Thousand","1330"
"Number of Trips by Irish Residents","2003Q2","Male","Domestic","Thousand","723"
"Number of Trips by Irish Residents","2003Q2","Male","Outbound","Thousand","642"
"Number of Trips by Irish Residents","2003Q2","Female","Domestic","Thousand","786"
"Number of Trips by Irish Residents","2003Q2","Female","Outbound","Thousand","688"
"Number of Trips by Irish Residents","2003Q3","Both sexes","Domestic","Thousand","2087"
"Number of Trips by Irish Residents","2003Q3","Both sexes","Outbound","Thousand","1595"
"Number of Trips by Irish Residents","2003Q3","Male","Domestic","Thousand","1008"
"Number of Trips by Irish Residents","2003Q3","Male","Outbound","Thousand","770"
"Number of Trips by Irish Residents","2003Q3","Female","Domestic","Thousand","1079"
"Number of Trips by Irish Residents","2003Q3","Female","Outbound","Thousand","825"
"Number of Trips by Irish Residents","2003Q4","Both sexes","Domestic","Thousand","1614"
"Number of Trips by Irish Residents","2003Q4","Both sexes","Outbound","Thousand","1095"
"Number of Trips by Irish Residents","2003Q4","Male","Domestic","Thousand","769"
"Number of Trips by Irish Residents","2003Q4","Male","Outbound","Thousand","547"
"Number of Trips by Irish Residents","2003Q4","Female","Domestic","Thousand","845"
"Number of Trips by Irish Residents","2003Q4","Female","Outbound","Thousand","548"
"Number of Trips by Irish Residents","2004Q1","Both sexes","Domestic","Thousand","1585"
"Number of Trips by Irish Residents","2004Q1","Both sexes","Outbound","Thousand","1069"
"Number of Trips by Irish Residents","2004Q1","Male","Domestic","Thousand","767"
"Number of Trips by Irish Residents","2004Q1","Male","Outbound","Thousand","553"
"Number of Trips by Irish Residents","2004Q1","Female","Domestic","Thousand","818"
"Number of Trips by Irish Residents","2004Q1","Female","Outbound","Thousand","517"
"Number of Trips by Irish Residents","2004Q2","Both sexes","Domestic","Thousand","1533"
"Number of Trips by Irish Residents","2004Q2","Both sexes","Outbound","Thousand","1425"
"Number of Trips by Irish Residents","2004Q2","Male","Domestic","Thousand","730"
"Number of Trips by Irish Residents","2004Q2","Male","Outbound","Thousand","683"
"Number of Trips by Irish Residents","2004Q2","Female","Domestic","Thousand","803"
"Number of Trips by Irish Residents","2004Q2","Female","Outbound","Thousand","741"
"Number of Trips by Irish Residents","2004Q3","Both sexes","Domestic","Thousand","2167"
"Number of Trips by Irish Residents","2004Q3","Both sexes","Outbound","Thousand","1751"
"Number of Trips by Irish Residents","2004Q3","Male","Domestic","Thousand","1008"
"Number of Trips by Irish Residents","2004Q3","Male","Outbound","Thousand","838"
"Number of Trips by Irish Residents","2004Q3","Female","Domestic","Thousand","1159"
"Number of Trips by Irish Residents","2004Q3","Female","Outbound","Thousand","913"
"Number of Trips by Irish Residents","2004Q4","Both sexes","Domestic","Thousand","1715"
"Number of Trips by Irish Residents","2004Q4","Both sexes","Outbound","Thousand","1220"
"Number of Trips by Irish Residents","2004Q4","Male","Domestic","Thousand","793"
"Number of Trips by Irish Residents","2004Q4","Male","Outbound","Thousand","600"
"Number of Trips by Irish Residents","2004Q4","Female","Domestic","Thousand","922"
"Number of Trips by Irish Residents","2004Q4","Female","Outbound","Thousand","620"
"Number of Trips by Irish Residents","2005Q1","Both sexes","Domestic","Thousand","1490"
"Number of Trips by Irish Residents","2005Q1","Both sexes","Outbound","Thousand","1212"
"Number of Trips by Irish Residents","2005Q1","Male","Domestic","Thousand","713"
"Number of Trips by Irish Residents","2005Q1","Male","Outbound","Thousand","630"
"Number of Trips by Irish Residents","2005Q1","Female","Domestic","Thousand","778"
"Number of Trips by Irish Residents","2005Q1","Female","Outbound","Thousand","582"
"Number of Trips by Irish Residents","2005Q2","Both sexes","Domestic","Thousand","1705"
"Number of Trips by Irish Residents","2005Q2","Both sexes","Outbound","Thousand","1661"
"Number of Trips by Irish Residents","2005Q2","Male","Domestic","Thousand","834"
"Number of Trips by Irish Residents","2005Q2","Male","Outbound","Thousand","803"
"Number of Trips by Irish Residents","2005Q2","Female","Domestic","Thousand","871"
"Number of Trips by Irish Residents","2005Q2","Female","Outbound","Thousand","858"
"Number of Trips by Irish Residents","2005Q3","Both sexes","Domestic","Thousand","2300"
"Number of Trips by Irish Residents","2005Q3","Both sexes","Outbound","Thousand","1961"
"Number of Trips by Irish Residents","2005Q3","Male","Domestic","Thousand","1103"
"Number of Trips by Irish Residents","2005Q3","Male","Outbound","Thousand","958"
"Number of Trips by Irish Residents","2005Q3","Female","Domestic","Thousand","1197"
"Number of Trips by Irish Residents","2005Q3","Female","Outbound","Thousand","1004"
"Number of Trips by Irish Residents","2005Q4","Both sexes","Domestic","Thousand","1678"
"Number of Trips by Irish Residents","2005Q4","Both sexes","Outbound","Thousand","1355"
"Number of Trips by Irish Residents","2005Q4","Male","Domestic","Thousand","822"
"Number of Trips by Irish Residents","2005Q4","Male","Outbound","Thousand","688"
"Number of Trips by Irish Residents","2005Q4","Female","Domestic","Thousand","856"
"Number of Trips by Irish Residents","2005Q4","Female","Outbound","Thousand","667"
"Number of Trips by Irish Residents","2006Q1","Both sexes","Domestic","Thousand","1457"
"Number of Trips by Irish Residents","2006Q1","Both sexes","Outbound","Thousand","1397"
"Number of Trips by Irish Residents","2006Q1","Male","Domestic","Thousand","671"
"Number of Trips by Irish Residents","2006Q1","Male","Outbound","Thousand","730"
"Number of Trips by Irish Residents","2006Q1","Female","Domestic","Thousand","786"
"Number of Trips by Irish Residents","2006Q1","Female","Outbound","Thousand","667"
"Number of Trips by Irish Residents","2006Q2","Both sexes","Domestic","Thousand","1721"
"Number of Trips by Irish Residents","2006Q2","Both sexes","Outbound","Thousand","1850"
"Number of Trips by Irish Residents","2006Q2","Male","Domestic","Thousand","826"
"Number of Trips by Irish Residents","2006Q2","Male","Outbound","Thousand","918"
"Number of Trips by Irish Residents","2006Q2","Female","Domestic","Thousand","894"
"Number of Trips by Irish Residents","2006Q2","Female","Outbound","Thousand","932"
"Number of Trips by Irish Residents","2006Q3","Both sexes","Domestic","Thousand","2301"
"Number of Trips by Irish Residents","2006Q3","Both sexes","Outbound","Thousand","2174"
"Number of Trips by Irish Residents","2006Q3","Male","Domestic","Thousand","1100"
"Number of Trips by Irish Residents","2006Q3","Male","Outbound","Thousand","1024"
"Number of Trips by Irish Residents","2006Q3","Female","Domestic","Thousand","1201"
"Number of Trips by Irish Residents","2006Q3","Female","Outbound","Thousand","1150"
"Number of Trips by Irish Residents","2006Q4","Both sexes","Domestic","Thousand","1831"
"Number of Trips by Irish Residents","2006Q4","Both sexes","Outbound","Thousand","1560"
"Number of Trips by Irish Residents","2006Q4","Male","Domestic","Thousand","880"
"Number of Trips by Irish Residents","2006Q4","Male","Outbound","Thousand","760"
"Number of Trips by Irish Residents","2006Q4","Female","Domestic","Thousand","951"
"Number of Trips by Irish Residents","2006Q4","Female","Outbound","Thousand","800"
"Number of Trips by Irish Residents","2007Q1","Both sexes","Domestic","Thousand","1579"
"Number of Trips by Irish Residents","2007Q1","Both sexes","Outbound","Thousand","1580"
"Number of Trips by Irish Residents","2007Q1","Male","Domestic","Thousand","751"
"Number of Trips by Irish Residents","2007Q1","Male","Outbound","Thousand","803"
"Number of Trips by Irish Residents","2007Q1","Female","Domestic","Thousand","829"
"Number of Trips by Irish Residents","2007Q1","Female","Outbound","Thousand","777"
"Number of Trips by Irish Residents","2007Q2","Both sexes","Domestic","Thousand","1983"
"Number of Trips by Irish Residents","2007Q2","Both sexes","Outbound","Thousand","2073"
"Number of Trips by Irish Residents","2007Q2","Male","Domestic","Thousand","943"
"Number of Trips by Irish Residents","2007Q2","Male","Outbound","Thousand","1014"
"Number of Trips by Irish Residents","2007Q2","Female","Domestic","Thousand","1040"
"Number of Trips by Irish Residents","2007Q2","Female","Outbound","Thousand","1059"
"Number of Trips by Irish Residents","2007Q3","Both sexes","Domestic","Thousand","2448"
"Number of Trips by Irish Residents","2007Q3","Both sexes","Outbound","Thousand","2387"
"Number of Trips by Irish Residents","2007Q3","Male","Domestic","Thousand","1162"
"Number of Trips by Irish Residents","2007Q3","Male","Outbound","Thousand","1181"
"Number of Trips by Irish Residents","2007Q3","Female","Domestic","Thousand","1286"
"Number of Trips by Irish Residents","2007Q3","Female","Outbound","Thousand","1206"
"Number of Trips by Irish Residents","2007Q4","Both sexes","Domestic","Thousand","1932"
"Number of Trips by Irish Residents","2007Q4","Both sexes","Outbound","Thousand","1790"
"Number of Trips by Irish Residents","2007Q4","Male","Domestic","Thousand","931"
"Number of Trips by Irish Residents","2007Q4","Male","Outbound","Thousand","888"
"Number of Trips by Irish Residents","2007Q4","Female","Domestic","Thousand","1001"
"Number of Trips by Irish Residents","2007Q4","Female","Outbound","Thousand","902"
"Number of Trips by Irish Residents","2008Q1","Both sexes","Domestic","Thousand","1851"
"Number of Trips by Irish Residents","2008Q1","Both sexes","Outbound","Thousand","1800"
"Number of Trips by Irish Residents","2008Q1","Male","Domestic","Thousand","846"
"Number of Trips by Irish Residents","2008Q1","Male","Outbound","Thousand","901"
"Number of Trips by Irish Residents","2008Q1","Female","Domestic","Thousand","1005"
"Number of Trips by Irish Residents","2008Q1","Female","Outbound","Thousand","899"
"Number of Trips by Irish Residents","2008Q2","Both sexes","Domestic","Thousand","1867"
"Number of Trips by Irish Residents","2008Q2","Both sexes","Outbound","Thousand","2060"
"Number of Trips by Irish Residents","2008Q2","Male","Domestic","Thousand","883"
"Number of Trips by Irish Residents","2008Q2","Male","Outbound","Thousand","975"
"Number of Trips by Irish Residents","2008Q2","Female","Domestic","Thousand","984"
"Number of Trips by Irish Residents","2008Q2","Female","Outbound","Thousand","1085"
"Number of Trips by Irish Residents","2008Q3","Both sexes","Domestic","Thousand","2544"
"Number of Trips by Irish Residents","2008Q3","Both sexes","Outbound","Thousand","2471"
"Number of Trips by Irish Residents","2008Q3","Male","Domestic","Thousand","1233"
"Number of Trips by Irish Residents","2008Q3","Male","Outbound","Thousand","1194"
"Number of Trips by Irish Residents","2008Q3","Female","Domestic","Thousand","1311"
"Number of Trips by Irish Residents","2008Q3","Female","Outbound","Thousand","1277"
"Number of Trips by Irish Residents","2008Q4","Both sexes","Domestic","Thousand","2077"
"Number of Trips by Irish Residents","2008Q4","Both sexes","Outbound","Thousand","1710"
"Number of Trips by Irish Residents","2008Q4","Male","Domestic","Thousand","970"
"Number of Trips by Irish Residents","2008Q4","Male","Outbound","Thousand","819"
"Number of Trips by Irish Residents","2008Q4","Female","Domestic","Thousand","1107"
"Number of Trips by Irish Residents","2008Q4","Female","Outbound","Thousand","891"
"Number of Trips by Irish Residents","2009Q1","Both sexes","Domestic","Thousand","1760"
"Number of Trips by Irish Residents","2009Q1","Both sexes","Outbound","Thousand","1597"
"Number of Trips by Irish Residents","2009Q1","Male","Domestic","Thousand","813"
"Number of Trips by Irish Residents","2009Q1","Male","Outbound","Thousand","810"
"Number of Trips by Irish Residents","2009Q1","Female","Domestic","Thousand","947"
"Number of Trips by Irish Residents","2009Q1","Female","Outbound","Thousand","787"
"Number of Trips by Irish Residents","2009Q2","Both sexes","Domestic","Thousand","2042"
"Number of Trips by Irish Residents","2009Q2","Both sexes","Outbound","Thousand","1927"
"Number of Trips by Irish Residents","2009Q2","Male","Domestic","Thousand","966"
"Number of Trips by Irish Residents","2009Q2","Male","Outbound","Thousand","940"
"Number of Trips by Irish Residents","2009Q2","Female","Domestic","Thousand","1076"
"Number of Trips by Irish Residents","2009Q2","Female","Outbound","Thousand","986"
"Number of Trips by Irish Residents","2009Q3","Both sexes","Domestic","Thousand","2512"
"Number of Trips by Irish Residents","2009Q3","Both sexes","Outbound","Thousand","2232"
"Number of Trips by Irish Residents","2009Q3","Male","Domestic","Thousand","1190"
"Number of Trips by Irish Residents","2009Q3","Male","Outbound","Thousand","1095"
"Number of Trips by Irish Residents","2009Q3","Female","Domestic","Thousand","1322"
"Number of Trips by Irish Residents","2009Q3","Female","Outbound","Thousand","1138"
"Number of Trips by Irish Residents","2009Q4","Both sexes","Domestic","Thousand","2026"
"Number of Trips by Irish Residents","2009Q4","Both sexes","Outbound","Thousand","1536"
"Number of Trips by Irish Residents","2009Q4","Male","Domestic","Thousand","956"
"Number of Trips by Irish Residents","2009Q4","Male","Outbound","Thousand","776"
"Number of Trips by Irish Residents","2009Q4","Female","Domestic","Thousand","1070"
"Number of Trips by Irish Residents","2009Q4","Female","Outbound","Thousand","760"
"Number of Trips by Irish Residents","2012Q1","Both sexes","Domestic","Thousand","1602"
"Number of Trips by Irish Residents","2012Q1","Both sexes","Outbound","Thousand","1310"
"Number of Trips by Irish Residents","2012Q1","Male","Domestic","Thousand","713"
"Number of Trips by Irish Residents","2012Q1","Male","Outbound","Thousand","676"
"Number of Trips by Irish Residents","2012Q1","Female","Domestic","Thousand","889"
"Number of Trips by Irish Residents","2012Q1","Female","Outbound","Thousand","634"
"Number of Trips by Irish Residents","2012Q2","Both sexes","Domestic","Thousand","1952"
"Number of Trips by Irish Residents","2012Q2","Both sexes","Outbound","Thousand","1823"
"Number of Trips by Irish Residents","2012Q2","Male","Domestic","Thousand","916"
"Number of Trips by Irish Residents","2012Q2","Male","Outbound","Thousand","896"
"Number of Trips by Irish Residents","2012Q2","Female","Domestic","Thousand","1036"
"Number of Trips by Irish Residents","2012Q2","Female","Outbound","Thousand","927"
"Number of Trips by Irish Residents","2012Q3","Both sexes","Domestic","Thousand","2950"
"Number of Trips by Irish Residents","2012Q3","Both sexes","Outbound","Thousand","2062"
"Number of Trips by Irish Residents","2012Q3","Male","Domestic","Thousand","1348"
"Number of Trips by Irish Residents","2012Q3","Male","Outbound","Thousand","1007"
"Number of Trips by Irish Residents","2012Q3","Female","Domestic","Thousand","1602"
"Number of Trips by Irish Residents","2012Q3","Female","Outbound","Thousand","1055"
"Number of Trips by Irish Residents","2012Q4","Both sexes","Domestic","Thousand","1787"
"Number of Trips by Irish Residents","2012Q4","Both sexes","Outbound","Thousand","1428"
"Number of Trips by Irish Residents","2012Q4","Male","Domestic","Thousand","791"
"Number of Trips by Irish Residents","2012Q4","Male","Outbound","Thousand","767"
"Number of Trips by Irish Residents","2012Q4","Female","Domestic","Thousand","996"
"Number of Trips by Irish Residents","2012Q4","Female","Outbound","Thousand","660"
"Number of Trips by Irish Residents","2013Q1","Both sexes","Domestic","Thousand","1514"
"Number of Trips by Irish Residents","2013Q1","Both sexes","Outbound","Thousand","1299"
"Number of Trips by Irish Residents","2013Q1","Male","Domestic","Thousand","669"
"Number of Trips by Irish Residents","2013Q1","Male","Outbound","Thousand","700"
"Number of Trips by Irish Residents","2013Q1","Female","Domestic","Thousand","846"
"Number of Trips by Irish Residents","2013Q1","Female","Outbound","Thousand","599"
"Number of Trips by Irish Residents","2013Q2","Both sexes","Domestic","Thousand","2048"
"Number of Trips by Irish Residents","2013Q2","Both sexes","Outbound","Thousand","1813"
"Number of Trips by Irish Residents","2013Q2","Male","Domestic","Thousand","924"
"Number of Trips by Irish Residents","2013Q2","Male","Outbound","Thousand","907"
"Number of Trips by Irish Residents","2013Q2","Female","Domestic","Thousand","1124"
"Number of Trips by Irish Residents","2013Q2","Female","Outbound","Thousand","906"
"Number of Trips by Irish Residents","2013Q3","Both sexes","Domestic","Thousand","3039"
"Number of Trips by Irish Residents","2013Q3","Both sexes","Outbound","Thousand","2098"
"Number of Trips by Irish Residents","2013Q3","Male","Domestic","Thousand","1376"
"Number of Trips by Irish Residents","2013Q3","Male","Outbound","Thousand","998"
"Number of Trips by Irish Residents","2013Q3","Female","Domestic","Thousand","1663"
"Number of Trips by Irish Residents","2013Q3","Female","Outbound","Thousand","1100"
"Number of Trips by Irish Residents","2013Q4","Both sexes","Domestic","Thousand","1812"
"Number of Trips by Irish Residents","2013Q4","Both sexes","Outbound","Thousand","1365"
"Number of Trips by Irish Residents","2013Q4","Male","Domestic","Thousand","873"
"Number of Trips by Irish Residents","2013Q4","Male","Outbound","Thousand","676"
"Number of Trips by Irish Residents","2013Q4","Female","Domestic","Thousand","939"
"Number of Trips by Irish Residents","2013Q4","Female","Outbound","Thousand","689"
"Number of Trips by Irish Residents","2014Q1","Both sexes","Domestic","Thousand","1719"
"Number of Trips by Irish Residents","2014Q1","Both sexes","Outbound","Thousand","1163"
"Number of Trips by Irish Residents","2014Q1","Male","Domestic","Thousand","785"
"Number of Trips by Irish Residents","2014Q1","Male","Outbound","Thousand","605"
"Number of Trips by Irish Residents","2014Q1","Female","Domestic","Thousand","935"
"Number of Trips by Irish Residents","2014Q1","Female","Outbound","Thousand","558"
"Number of Trips by Irish Residents","2014Q2","Both sexes","Domestic","Thousand","2165"
"Number of Trips by Irish Residents","2014Q2","Both sexes","Outbound","Thousand","1839"
"Number of Trips by Irish Residents","2014Q2","Male","Domestic","Thousand","1017"
"Number of Trips by Irish Residents","2014Q2","Male","Outbound","Thousand","952"
"Number of Trips by Irish Residents","2014Q2","Female","Domestic","Thousand","1148"
"Number of Trips by Irish Residents","2014Q2","Female","Outbound","Thousand","887"
"Number of Trips by Irish Residents","2014Q3","Both sexes","Domestic","Thousand","3093"
"Number of Trips by Irish Residents","2014Q3","Both sexes","Outbound","Thousand","2153"
"Number of Trips by Irish Residents","2014Q3","Male","Domestic","Thousand","1458"
"Number of Trips by Irish Residents","2014Q3","Male","Outbound","Thousand","998"
"Number of Trips by Irish Residents","2014Q3","Female","Domestic","Thousand","1635"
"Number of Trips by Irish Residents","2014Q3","Female","Outbound","Thousand","1155"
"Number of Trips by Irish Residents","2014Q4","Both sexes","Domestic","Thousand","2013"
"Number of Trips by Irish Residents","2014Q4","Both sexes","Outbound","Thousand","1522"
"Number of Trips by Irish Residents","2014Q4","Male","Domestic","Thousand","941"
"Number of Trips by Irish Residents","2014Q4","Male","Outbound","Thousand","756"
"Number of Trips by Irish Residents","2014Q4","Female","Domestic","Thousand","1072"
"Number of Trips by Irish Residents","2014Q4","Female","Outbound","Thousand","766"
"Number of Trips by Irish Residents","2015Q1","Both sexes","Domestic","Thousand","1731"
"Number of Trips by Irish Residents","2015Q1","Both sexes","Outbound","Thousand","1350"
"Number of Trips by Irish Residents","2015Q1","Male","Domestic","Thousand","812"
"Number of Trips by Irish Residents","2015Q1","Male","Outbound","Thousand","701"
"Number of Trips by Irish Residents","2015Q1","Female","Domestic","Thousand","919"
"Number of Trips by Irish Residents","2015Q1","Female","Outbound","Thousand","649"
"Number of Trips by Irish Residents","2015Q2","Both sexes","Domestic","Thousand","2181"
"Number of Trips by Irish Residents","2015Q2","Both sexes","Outbound","Thousand","1926"
"Number of Trips by Irish Residents","2015Q2","Male","Domestic","Thousand","1006"
"Number of Trips by Irish Residents","2015Q2","Male","Outbound","Thousand","920"
"Number of Trips by Irish Residents","2015Q2","Female","Domestic","Thousand","1176"
"Number of Trips by Irish Residents","2015Q2","Female","Outbound","Thousand","1005"
"Number of Trips by Irish Residents","2015Q3","Both sexes","Domestic","Thousand","3187"
"Number of Trips by Irish Residents","2015Q3","Both sexes","Outbound","Thousand","2218"
"Number of Trips by Irish Residents","2015Q3","Male","Domestic","Thousand","1483"
"Number of Trips by Irish Residents","2015Q3","Male","Outbound","Thousand","1128"
"Number of Trips by Irish Residents","2015Q3","Female","Domestic","Thousand","1704"
"Number of Trips by Irish Residents","2015Q3","Female","Outbound","Thousand","1089"
"Number of Trips by Irish Residents","2015Q4","Both sexes","Domestic","Thousand","2026"
"Number of Trips by Irish Residents","2015Q4","Both sexes","Outbound","Thousand","1600"
"Number of Trips by Irish Residents","2015Q4","Male","Domestic","Thousand","903"
"Number of Trips by Irish Residents","2015Q4","Male","Outbound","Thousand","782"
"Number of Trips by Irish Residents","2015Q4","Female","Domestic","Thousand","1123"
"Number of Trips by Irish Residents","2015Q4","Female","Outbound","Thousand","818"
"Number of Trips by Irish Residents","2016Q1","Both sexes","Domestic","Thousand","2088"
"Number of Trips by Irish Residents","2016Q1","Both sexes","Outbound","Thousand","1522"
"Number of Trips by Irish Residents","2016Q1","Male","Domestic","Thousand","946"
"Number of Trips by Irish Residents","2016Q1","Male","Outbound","Thousand","775"
"Number of Trips by Irish Residents","2016Q1","Female","Domestic","Thousand","1142"
"Number of Trips by Irish Residents","2016Q1","Female","Outbound","Thousand","747"
"Number of Trips by Irish Residents","2016Q2","Both sexes","Domestic","Thousand","2055"
"Number of Trips by Irish Residents","2016Q2","Both sexes","Outbound","Thousand","2002"
"Number of Trips by Irish Residents","2016Q2","Male","Domestic","Thousand","934"
"Number of Trips by Irish Residents","2016Q2","Male","Outbound","Thousand","1004"
"Number of Trips by Irish Residents","2016Q2","Female","Domestic","Thousand","1121"
"Number of Trips by Irish Residents","2016Q2","Female","Outbound","Thousand","998"
"Number of Trips by Irish Residents","2016Q3","Both sexes","Domestic","Thousand","3175"
"Number of Trips by Irish Residents","2016Q3","Both sexes","Outbound","Thousand","2321"
"Number of Trips by Irish Residents","2016Q3","Male","Domestic","Thousand","1483"
"Number of Trips by Irish Residents","2016Q3","Male","Outbound","Thousand","1125"
"Number of Trips by Irish Residents","2016Q3","Female","Domestic","Thousand","1692"
"Number of Trips by Irish Residents","2016Q3","Female","Outbound","Thousand","1197"
"Number of Trips by Irish Residents","2016Q4","Both sexes","Domestic","Thousand","2041"
"Number of Trips by Irish Residents","2016Q4","Both sexes","Outbound","Thousand","1799"
"Number of Trips by Irish Residents","2016Q4","Male","Domestic","Thousand","932"
"Number of Trips by Irish Residents","2016Q4","Male","Outbound","Thousand","864"
"Number of Trips by Irish Residents","2016Q4","Female","Domestic","Thousand","1110"
"Number of Trips by Irish Residents","2016Q4","Female","Outbound","Thousand","935"
"Number of Trips by Irish Residents","2017Q1","Both sexes","Domestic","Thousand","1908"
