"Statistic Label","Quarter","Reason for Journey","Region Visited","UNIT","VALUE"
"Number of Trips by Irish Residents","2018Q1","Other reasons","South-East","Thousand",""
"Number of Trips by Irish Residents","2018Q1","Other reasons","South-West","Thousand",""
"Number of Trips by Irish Residents","2018Q1","Other reasons","Eastern and Midland","Thousand","131"
"Number of Trips by Irish Residents","2018Q1","Other reasons","Dublin","Thousand",""
"Number of Trips by Irish Residents","2018Q1","Other reasons","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2018Q1","Other reasons","Midland","Thousand",""
"Number of Trips by Irish Residents","2018Q2","All reasons for journey","State","Thousand","2553"
"Number of Trips by Irish Residents","2018Q2","All reasons for journey","Northern and Western","Thousand","642"
"Number of Trips by Irish Residents","2018Q2","All reasons for journey","Border","Thousand",""
"Number of Trips by Irish Residents","2018Q2","All reasons for journey","West","Thousand",""
"Number of Trips by Irish Residents","2018Q2","All reasons for journey","Southern","Thousand","1156"
"Number of Trips by Irish Residents","2018Q2","All reasons for journey","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2018Q2","All reasons for journey","South-East","Thousand",""
"Number of Trips by Irish Residents","2018Q2","All reasons for journey","South-West","Thousand",""
"Number of Trips by Irish Residents","2018Q2","All reasons for journey","Eastern and Midland","Thousand","755"
"Number of Trips by Irish Residents","2018Q2","All reasons for journey","Dublin","Thousand",""
"Number of Trips by Irish Residents","2018Q2","All reasons for journey","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2018Q2","All reasons for journey","Midland","Thousand",""
"Number of Trips by Irish Residents","2018Q2","Holiday","State","Thousand","1277"
"Number of Trips by Irish Residents","2018Q2","Holiday","Northern and Western","Thousand","301"
"Number of Trips by Irish Residents","2018Q2","Holiday","Border","Thousand",""
"Number of Trips by Irish Residents","2018Q2","Holiday","West","Thousand",""
"Number of Trips by Irish Residents","2018Q2","Holiday","Southern","Thousand","701"
"Number of Trips by Irish Residents","2018Q2","Holiday","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2018Q2","Holiday","South-East","Thousand",""
"Number of Trips by Irish Residents","2018Q2","Holiday","South-West","Thousand",""
"Number of Trips by Irish Residents","2018Q2","Holiday","Eastern and Midland","Thousand","275"
"Number of Trips by Irish Residents","2018Q2","Holiday","Dublin","Thousand",""
"Number of Trips by Irish Residents","2018Q2","Holiday","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2018Q2","Holiday","Midland","Thousand",""
"Number of Trips by Irish Residents","2018Q2","Business","State","Thousand","114"
"Number of Trips by Irish Residents","2018Q2","Business","Northern and Western","Thousand","19"
"Number of Trips by Irish Residents","2018Q2","Business","Border","Thousand",""
"Number of Trips by Irish Residents","2018Q2","Business","West","Thousand",""
"Number of Trips by Irish Residents","2018Q2","Business","Southern","Thousand","33"
"Number of Trips by Irish Residents","2018Q2","Business","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2018Q2","Business","South-East","Thousand",""
"Number of Trips by Irish Residents","2018Q2","Business","South-West","Thousand",""
"Number of Trips by Irish Residents","2018Q2","Business","Eastern and Midland","Thousand","62"
"Number of Trips by Irish Residents","2018Q2","Business","Dublin","Thousand",""
"Number of Trips by Irish Residents","2018Q2","Business","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2018Q2","Business","Midland","Thousand",""
"Number of Trips by Irish Residents","2018Q2","Visiting friends/relatives","State","Thousand","786"
"Number of Trips by Irish Residents","2018Q2","Visiting friends/relatives","Northern and Western","Thousand","237"
"Number of Trips by Irish Residents","2018Q2","Visiting friends/relatives","Border","Thousand",""
"Number of Trips by Irish Residents","2018Q2","Visiting friends/relatives","West","Thousand",""
"Number of Trips by Irish Residents","2018Q2","Visiting friends/relatives","Southern","Thousand","309"
"Number of Trips by Irish Residents","2018Q2","Visiting friends/relatives","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2018Q2","Visiting friends/relatives","South-East","Thousand",""
"Number of Trips by Irish Residents","2018Q2","Visiting friends/relatives","South-West","Thousand",""
"Number of Trips by Irish Residents","2018Q2","Visiting friends/relatives","Eastern and Midland","Thousand","241"
"Number of Trips by Irish Residents","2018Q2","Visiting friends/relatives","Dublin","Thousand",""
"Number of Trips by Irish Residents","2018Q2","Visiting friends/relatives","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2018Q2","Visiting friends/relatives","Midland","Thousand",""
"Number of Trips by Irish Residents","2018Q2","Other reasons","State","Thousand","375"
"Number of Trips by Irish Residents","2018Q2","Other reasons","Northern and Western","Thousand","85"
"Number of Trips by Irish Residents","2018Q2","Other reasons","Border","Thousand",""
"Number of Trips by Irish Residents","2018Q2","Other reasons","West","Thousand",""
"Number of Trips by Irish Residents","2018Q2","Other reasons","Southern","Thousand","113"
"Number of Trips by Irish Residents","2018Q2","Other reasons","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2018Q2","Other reasons","South-East","Thousand",""
"Number of Trips by Irish Residents","2018Q2","Other reasons","South-West","Thousand",""
"Number of Trips by Irish Residents","2018Q2","Other reasons","Eastern and Midland","Thousand","177"
"Number of Trips by Irish Residents","2018Q2","Other reasons","Dublin","Thousand",""
"Number of Trips by Irish Residents","2018Q2","Other reasons","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2018Q2","Other reasons","Midland","Thousand",""
"Number of Trips by Irish Residents","2018Q3","All reasons for journey","State","Thousand","3807"
"Number of Trips by Irish Residents","2018Q3","All reasons for journey","Northern and Western","Thousand","962"
"Number of Trips by Irish Residents","2018Q3","All reasons for journey","Border","Thousand",""
"Number of Trips by Irish Residents","2018Q3","All reasons for journey","West","Thousand",""
"Number of Trips by Irish Residents","2018Q3","All reasons for journey","Southern","Thousand","1917"
"Number of Trips by Irish Residents","2018Q3","All reasons for journey","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2018Q3","All reasons for journey","South-East","Thousand",""
"Number of Trips by Irish Residents","2018Q3","All reasons for journey","South-West","Thousand",""
"Number of Trips by Irish Residents","2018Q3","All reasons for journey","Eastern and Midland","Thousand","928"
"Number of Trips by Irish Residents","2018Q3","All reasons for journey","Dublin","Thousand",""
"Number of Trips by Irish Residents","2018Q3","All reasons for journey","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2018Q3","All reasons for journey","Midland","Thousand",""
"Number of Trips by Irish Residents","2018Q3","Holiday","State","Thousand","2162"
"Number of Trips by Irish Residents","2018Q3","Holiday","Northern and Western","Thousand","529"
"Number of Trips by Irish Residents","2018Q3","Holiday","Border","Thousand",""
"Number of Trips by Irish Residents","2018Q3","Holiday","West","Thousand",""
"Number of Trips by Irish Residents","2018Q3","Holiday","Southern","Thousand","1186"
"Number of Trips by Irish Residents","2018Q3","Holiday","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2018Q3","Holiday","South-East","Thousand",""
"Number of Trips by Irish Residents","2018Q3","Holiday","South-West","Thousand",""
"Number of Trips by Irish Residents","2018Q3","Holiday","Eastern and Midland","Thousand","447"
"Number of Trips by Irish Residents","2018Q3","Holiday","Dublin","Thousand",""
"Number of Trips by Irish Residents","2018Q3","Holiday","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2018Q3","Holiday","Midland","Thousand",""
"Number of Trips by Irish Residents","2018Q3","Business","State","Thousand","88"
"Number of Trips by Irish Residents","2018Q3","Business","Northern and Western","Thousand","20"
"Number of Trips by Irish Residents","2018Q3","Business","Border","Thousand",""
"Number of Trips by Irish Residents","2018Q3","Business","West","Thousand",""
"Number of Trips by Irish Residents","2018Q3","Business","Southern","Thousand","24"
"Number of Trips by Irish Residents","2018Q3","Business","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2018Q3","Business","South-East","Thousand",""
"Number of Trips by Irish Residents","2018Q3","Business","South-West","Thousand",""
"Number of Trips by Irish Residents","2018Q3","Business","Eastern and Midland","Thousand","44"
"Number of Trips by Irish Residents","2018Q3","Business","Dublin","Thousand",""
"Number of Trips by Irish Residents","2018Q3","Business","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2018Q3","Business","Midland","Thousand",""
"Number of Trips by Irish Residents","2018Q3","Visiting friends/relatives","State","Thousand","1136"
"Number of Trips by Irish Residents","2018Q3","Visiting friends/relatives","Northern and Western","Thousand","322"
"Number of Trips by Irish Residents","2018Q3","Visiting friends/relatives","Border","Thousand",""
"Number of Trips by Irish Residents","2018Q3","Visiting friends/relatives","West","Thousand",""
"Number of Trips by Irish Residents","2018Q3","Visiting friends/relatives","Southern","Thousand","544"
"Number of Trips by Irish Residents","2018Q3","Visiting friends/relatives","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2018Q3","Visiting friends/relatives","South-East","Thousand",""
"Number of Trips by Irish Residents","2018Q3","Visiting friends/relatives","South-West","Thousand",""
"Number of Trips by Irish Residents","2018Q3","Visiting friends/relatives","Eastern and Midland","Thousand","270"
"Number of Trips by Irish Residents","2018Q3","Visiting friends/relatives","Dublin","Thousand",""
"Number of Trips by Irish Residents","2018Q3","Visiting friends/relatives","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2018Q3","Visiting friends/relatives","Midland","Thousand",""
"Number of Trips by Irish Residents","2018Q3","Other reasons","State","Thousand","421"
"Number of Trips by Irish Residents","2018Q3","Other reasons","Northern and Western","Thousand","91"
"Number of Trips by Irish Residents","2018Q3","Other reasons","Border","Thousand",""
"Number of Trips by Irish Residents","2018Q3","Other reasons","West","Thousand",""
"Number of Trips by Irish Residents","2018Q3","Other reasons","Southern","Thousand","162"
"Number of Trips by Irish Residents","2018Q3","Other reasons","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2018Q3","Other reasons","South-East","Thousand",""
"Number of Trips by Irish Residents","2018Q3","Other reasons","South-West","Thousand",""
"Number of Trips by Irish Residents","2018Q3","Other reasons","Eastern and Midland","Thousand","167"
"Number of Trips by Irish Residents","2018Q3","Other reasons","Dublin","Thousand",""
"Number of Trips by Irish Residents","2018Q3","Other reasons","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2018Q3","Other reasons","Midland","Thousand",""
"Number of Trips by Irish Residents","2018Q4","All reasons for journey","State","Thousand","2441"
"Number of Trips by Irish Residents","2018Q4","All reasons for journey","Northern and Western","Thousand","628"
"Number of Trips by Irish Residents","2018Q4","All reasons for journey","Border","Thousand",""
"Number of Trips by Irish Residents","2018Q4","All reasons for journey","West","Thousand",""
"Number of Trips by Irish Residents","2018Q4","All reasons for journey","Southern","Thousand","1063"
"Number of Trips by Irish Residents","2018Q4","All reasons for journey","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2018Q4","All reasons for journey","South-East","Thousand",""
"Number of Trips by Irish Residents","2018Q4","All reasons for journey","South-West","Thousand",""
"Number of Trips by Irish Residents","2018Q4","All reasons for journey","Eastern and Midland","Thousand","750"
"Number of Trips by Irish Residents","2018Q4","All reasons for journey","Dublin","Thousand",""
"Number of Trips by Irish Residents","2018Q4","All reasons for journey","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2018Q4","All reasons for journey","Midland","Thousand",""
"Number of Trips by Irish Residents","2018Q4","Holiday","State","Thousand","954"
"Number of Trips by Irish Residents","2018Q4","Holiday","Northern and Western","Thousand","240"
"Number of Trips by Irish Residents","2018Q4","Holiday","Border","Thousand",""
"Number of Trips by Irish Residents","2018Q4","Holiday","West","Thousand",""
"Number of Trips by Irish Residents","2018Q4","Holiday","Southern","Thousand","448"
"Number of Trips by Irish Residents","2018Q4","Holiday","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2018Q4","Holiday","South-East","Thousand",""
"Number of Trips by Irish Residents","2018Q4","Holiday","South-West","Thousand",""
"Number of Trips by Irish Residents","2018Q4","Holiday","Eastern and Midland","Thousand","266"
"Number of Trips by Irish Residents","2018Q4","Holiday","Dublin","Thousand",""
"Number of Trips by Irish Residents","2018Q4","Holiday","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2018Q4","Holiday","Midland","Thousand",""
"Number of Trips by Irish Residents","2018Q4","Business","State","Thousand","127"
"Number of Trips by Irish Residents","2018Q4","Business","Northern and Western","Thousand","10"
"Number of Trips by Irish Residents","2018Q4","Business","Border","Thousand",""
"Number of Trips by Irish Residents","2018Q4","Business","West","Thousand",""
"Number of Trips by Irish Residents","2018Q4","Business","Southern","Thousand","45"
"Number of Trips by Irish Residents","2018Q4","Business","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2018Q4","Business","South-East","Thousand",""
"Number of Trips by Irish Residents","2018Q4","Business","South-West","Thousand",""
"Number of Trips by Irish Residents","2018Q4","Business","Eastern and Midland","Thousand","72"
"Number of Trips by Irish Residents","2018Q4","Business","Dublin","Thousand",""
"Number of Trips by Irish Residents","2018Q4","Business","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2018Q4","Business","Midland","Thousand",""
"Number of Trips by Irish Residents","2018Q4","Visiting friends/relatives","State","Thousand","1042"
"Number of Trips by Irish Residents","2018Q4","Visiting friends/relatives","Northern and Western","Thousand","306"
"Number of Trips by Irish Residents","2018Q4","Visiting friends/relatives","Border","Thousand",""
"Number of Trips by Irish Residents","2018Q4","Visiting friends/relatives","West","Thousand",""
"Number of Trips by Irish Residents","2018Q4","Visiting friends/relatives","Southern","Thousand","448"
"Number of Trips by Irish Residents","2018Q4","Visiting friends/relatives","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2018Q4","Visiting friends/relatives","South-East","Thousand",""
"Number of Trips by Irish Residents","2018Q4","Visiting friends/relatives","South-West","Thousand",""
"Number of Trips by Irish Residents","2018Q4","Visiting friends/relatives","Eastern and Midland","Thousand","288"
"Number of Trips by Irish Residents","2018Q4","Visiting friends/relatives","Dublin","Thousand",""
"Number of Trips by Irish Residents","2018Q4","Visiting friends/relatives","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2018Q4","Visiting friends/relatives","Midland","Thousand",""
"Number of Trips by Irish Residents","2018Q4","Other reasons","State","Thousand","318"
"Number of Trips by Irish Residents","2018Q4","Other reasons","Northern and Western","Thousand","72"
"Number of Trips by Irish Residents","2018Q4","Other reasons","Border","Thousand",""
"Number of Trips by Irish Residents","2018Q4","Other reasons","West","Thousand",""
"Number of Trips by Irish Residents","2018Q4","Other reasons","Southern","Thousand","122"
"Number of Trips by Irish Residents","2018Q4","Other reasons","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2018Q4","Other reasons","South-East","Thousand",""
"Number of Trips by Irish Residents","2018Q4","Other reasons","South-West","Thousand",""
"Number of Trips by Irish Residents","2018Q4","Other reasons","Eastern and Midland","Thousand","124"
"Number of Trips by Irish Residents","2018Q4","Other reasons","Dublin","Thousand",""
"Number of Trips by Irish Residents","2018Q4","Other reasons","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2018Q4","Other reasons","Midland","Thousand",""
"Number of Trips by Irish Residents","2019Q1","All reasons for journey","State","Thousand","2223"
"Number of Trips by Irish Residents","2019Q1","All reasons for journey","Northern and Western","Thousand","568"
"Number of Trips by Irish Residents","2019Q1","All reasons for journey","Border","Thousand",""
"Number of Trips by Irish Residents","2019Q1","All reasons for journey","West","Thousand",""
"Number of Trips by Irish Residents","2019Q1","All reasons for journey","Southern","Thousand","924"
"Number of Trips by Irish Residents","2019Q1","All reasons for journey","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2019Q1","All reasons for journey","South-East","Thousand",""
"Number of Trips by Irish Residents","2019Q1","All reasons for journey","South-West","Thousand",""
"Number of Trips by Irish Residents","2019Q1","All reasons for journey","Eastern and Midland","Thousand","730"
"Number of Trips by Irish Residents","2019Q1","All reasons for journey","Dublin","Thousand",""
"Number of Trips by Irish Residents","2019Q1","All reasons for journey","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2019Q1","All reasons for journey","Midland","Thousand",""
"Number of Trips by Irish Residents","2019Q1","Holiday","State","Thousand","955"
"Number of Trips by Irish Residents","2019Q1","Holiday","Northern and Western","Thousand","230"
"Number of Trips by Irish Residents","2019Q1","Holiday","Border","Thousand",""
"Number of Trips by Irish Residents","2019Q1","Holiday","West","Thousand",""
"Number of Trips by Irish Residents","2019Q1","Holiday","Southern","Thousand","450"
"Number of Trips by Irish Residents","2019Q1","Holiday","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2019Q1","Holiday","South-East","Thousand",""
"Number of Trips by Irish Residents","2019Q1","Holiday","South-West","Thousand",""
"Number of Trips by Irish Residents","2019Q1","Holiday","Eastern and Midland","Thousand","276"
"Number of Trips by Irish Residents","2019Q1","Holiday","Dublin","Thousand",""
"Number of Trips by Irish Residents","2019Q1","Holiday","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2019Q1","Holiday","Midland","Thousand",""
"Number of Trips by Irish Residents","2019Q1","Business","State","Thousand","121"
"Number of Trips by Irish Residents","2019Q1","Business","Northern and Western","Thousand","22"
"Number of Trips by Irish Residents","2019Q1","Business","Border","Thousand",""
"Number of Trips by Irish Residents","2019Q1","Business","West","Thousand",""
"Number of Trips by Irish Residents","2019Q1","Business","Southern","Thousand","44"
"Number of Trips by Irish Residents","2019Q1","Business","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2019Q1","Business","South-East","Thousand",""
"Number of Trips by Irish Residents","2019Q1","Business","South-West","Thousand",""
"Number of Trips by Irish Residents","2019Q1","Business","Eastern and Midland","Thousand","55"
"Number of Trips by Irish Residents","2019Q1","Business","Dublin","Thousand",""
"Number of Trips by Irish Residents","2019Q1","Business","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2019Q1","Business","Midland","Thousand",""
"Number of Trips by Irish Residents","2019Q1","Visiting friends/relatives","State","Thousand","866"
"Number of Trips by Irish Residents","2019Q1","Visiting friends/relatives","Northern and Western","Thousand","249"
"Number of Trips by Irish Residents","2019Q1","Visiting friends/relatives","Border","Thousand",""
"Number of Trips by Irish Residents","2019Q1","Visiting friends/relatives","West","Thousand",""
"Number of Trips by Irish Residents","2019Q1","Visiting friends/relatives","Southern","Thousand","324"
"Number of Trips by Irish Residents","2019Q1","Visiting friends/relatives","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2019Q1","Visiting friends/relatives","South-East","Thousand",""
"Number of Trips by Irish Residents","2019Q1","Visiting friends/relatives","South-West","Thousand",""
"Number of Trips by Irish Residents","2019Q1","Visiting friends/relatives","Eastern and Midland","Thousand","292"
"Number of Trips by Irish Residents","2019Q1","Visiting friends/relatives","Dublin","Thousand",""
"Number of Trips by Irish Residents","2019Q1","Visiting friends/relatives","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2019Q1","Visiting friends/relatives","Midland","Thousand",""
"Number of Trips by Irish Residents","2019Q1","Other reasons","State","Thousand","281"
"Number of Trips by Irish Residents","2019Q1","Other reasons","Northern and Western","Thousand","68"
"Number of Trips by Irish Residents","2019Q1","Other reasons","Border","Thousand",""
"Number of Trips by Irish Residents","2019Q1","Other reasons","West","Thousand",""
"Number of Trips by Irish Residents","2019Q1","Other reasons","Southern","Thousand","106"
"Number of Trips by Irish Residents","2019Q1","Other reasons","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2019Q1","Other reasons","South-East","Thousand",""
"Number of Trips by Irish Residents","2019Q1","Other reasons","South-West","Thousand",""
"Number of Trips by Irish Residents","2019Q1","Other reasons","Eastern and Midland","Thousand","107"
"Number of Trips by Irish Residents","2019Q1","Other reasons","Dublin","Thousand",""
"Number of Trips by Irish Residents","2019Q1","Other reasons","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2019Q1","Other reasons","Midland","Thousand",""
"Number of Trips by Irish Residents","2019Q2","All reasons for journey","State","Thousand","2858"
"Number of Trips by Irish Residents","2019Q2","All reasons for journey","Northern and Western","Thousand","789"
"Number of Trips by Irish Residents","2019Q2","All reasons for journey","Border","Thousand",""
"Number of Trips by Irish Residents","2019Q2","All reasons for journey","West","Thousand",""
"Number of Trips by Irish Residents","2019Q2","All reasons for journey","Southern","Thousand","1390"
"Number of Trips by Irish Residents","2019Q2","All reasons for journey","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2019Q2","All reasons for journey","South-East","Thousand",""
"Number of Trips by Irish Residents","2019Q2","All reasons for journey","South-West","Thousand",""
"Number of Trips by Irish Residents","2019Q2","All reasons for journey","Eastern and Midland","Thousand","680"
"Number of Trips by Irish Residents","2019Q2","All reasons for journey","Dublin","Thousand",""
"Number of Trips by Irish Residents","2019Q2","All reasons for journey","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2019Q2","All reasons for journey","Midland","Thousand",""
"Number of Trips by Irish Residents","2019Q2","Holiday","State","Thousand","1463"
"Number of Trips by Irish Residents","2019Q2","Holiday","Northern and Western","Thousand","377"
"Number of Trips by Irish Residents","2019Q2","Holiday","Border","Thousand",""
"Number of Trips by Irish Residents","2019Q2","Holiday","West","Thousand",""
"Number of Trips by Irish Residents","2019Q2","Holiday","Southern","Thousand","793"
"Number of Trips by Irish Residents","2019Q2","Holiday","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2019Q2","Holiday","South-East","Thousand",""
"Number of Trips by Irish Residents","2019Q2","Holiday","South-West","Thousand",""
"Number of Trips by Irish Residents","2019Q2","Holiday","Eastern and Midland","Thousand","293"
"Number of Trips by Irish Residents","2019Q2","Holiday","Dublin","Thousand",""
"Number of Trips by Irish Residents","2019Q2","Holiday","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2019Q2","Holiday","Midland","Thousand",""
"Number of Trips by Irish Residents","2019Q2","Business","State","Thousand","146"
"Number of Trips by Irish Residents","2019Q2","Business","Northern and Western","Thousand","52"
"Number of Trips by Irish Residents","2019Q2","Business","Border","Thousand",""
"Number of Trips by Irish Residents","2019Q2","Business","West","Thousand",""
"Number of Trips by Irish Residents","2019Q2","Business","Southern","Thousand","48"
"Number of Trips by Irish Residents","2019Q2","Business","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2019Q2","Business","South-East","Thousand",""
"Number of Trips by Irish Residents","2019Q2","Business","South-West","Thousand",""
"Number of Trips by Irish Residents","2019Q2","Business","Eastern and Midland","Thousand","45"
"Number of Trips by Irish Residents","2019Q2","Business","Dublin","Thousand",""
"Number of Trips by Irish Residents","2019Q2","Business","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2019Q2","Business","Midland","Thousand",""
"Number of Trips by Irish Residents","2019Q2","Visiting friends/relatives","State","Thousand","881"
"Number of Trips by Irish Residents","2019Q2","Visiting friends/relatives","Northern and Western","Thousand","269"
"Number of Trips by Irish Residents","2019Q2","Visiting friends/relatives","Border","Thousand",""
"Number of Trips by Irish Residents","2019Q2","Visiting friends/relatives","West","Thousand",""
"Number of Trips by Irish Residents","2019Q2","Visiting friends/relatives","Southern","Thousand","383"
"Number of Trips by Irish Residents","2019Q2","Visiting friends/relatives","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2019Q2","Visiting friends/relatives","South-East","Thousand",""
"Number of Trips by Irish Residents","2019Q2","Visiting friends/relatives","South-West","Thousand",""
"Number of Trips by Irish Residents","2019Q2","Visiting friends/relatives","Eastern and Midland","Thousand","228"
"Number of Trips by Irish Residents","2019Q2","Visiting friends/relatives","Dublin","Thousand",""
"Number of Trips by Irish Residents","2019Q2","Visiting friends/relatives","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2019Q2","Visiting friends/relatives","Midland","Thousand",""
"Number of Trips by Irish Residents","2019Q2","Other reasons","State","Thousand","369"
"Number of Trips by Irish Residents","2019Q2","Other reasons","Northern and Western","Thousand","90"
"Number of Trips by Irish Residents","2019Q2","Other reasons","Border","Thousand",""
