"Statistic Label","Quarter","Reason for Journey","Region Visited","UNIT","VALUE"
"Number of Trips by Irish Residents","2004Q1","All reasons for journey","Border","Thousand",""
"Number of Trips by Irish Residents","2004Q1","All reasons for journey","Midland","Thousand",""
"Number of Trips by Irish Residents","2004Q1","All reasons for journey","West","Thousand",""
"Number of Trips by Irish Residents","2004Q1","All reasons for journey","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2004Q1","All reasons for journey","Dublin","Thousand",""
"Number of Trips by Irish Residents","2004Q1","All reasons for journey","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2004Q1","All reasons for journey","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2004Q1","All reasons for journey","South-East","Thousand",""
"Number of Trips by Irish Residents","2004Q1","All reasons for journey","South-West","Thousand",""
"Number of Trips by Irish Residents","2004Q1","Holiday","State","Thousand","572"
"Number of Trips by Irish Residents","2004Q1","Holiday","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2004Q1","Holiday","Border","Thousand","49"
"Number of Trips by Irish Residents","2004Q1","Holiday","Midland","Thousand","19"
"Number of Trips by Irish Residents","2004Q1","Holiday","West","Thousand","146"
"Number of Trips by Irish Residents","2004Q1","Holiday","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2004Q1","Holiday","Dublin","Thousand","47"
"Number of Trips by Irish Residents","2004Q1","Holiday","Mid-East","Thousand","20"
"Number of Trips by Irish Residents","2004Q1","Holiday","Mid-West","Thousand","45"
"Number of Trips by Irish Residents","2004Q1","Holiday","South-East","Thousand","100"
"Number of Trips by Irish Residents","2004Q1","Holiday","South-West","Thousand","146"
"Number of Trips by Irish Residents","2004Q1","Business","State","Thousand","183"
"Number of Trips by Irish Residents","2004Q1","Business","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2004Q1","Business","Border","Thousand","17"
"Number of Trips by Irish Residents","2004Q1","Business","Midland","Thousand","13"
"Number of Trips by Irish Residents","2004Q1","Business","West","Thousand","27"
"Number of Trips by Irish Residents","2004Q1","Business","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2004Q1","Business","Dublin","Thousand","52"
"Number of Trips by Irish Residents","2004Q1","Business","Mid-East","Thousand","8"
"Number of Trips by Irish Residents","2004Q1","Business","Mid-West","Thousand","16"
"Number of Trips by Irish Residents","2004Q1","Business","South-East","Thousand","15"
"Number of Trips by Irish Residents","2004Q1","Business","South-West","Thousand","34"
"Number of Trips by Irish Residents","2004Q1","Visiting friends/relatives","State","Thousand","658"
"Number of Trips by Irish Residents","2004Q1","Visiting friends/relatives","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2004Q1","Visiting friends/relatives","Border","Thousand","52"
"Number of Trips by Irish Residents","2004Q1","Visiting friends/relatives","Midland","Thousand","50"
"Number of Trips by Irish Residents","2004Q1","Visiting friends/relatives","West","Thousand","99"
"Number of Trips by Irish Residents","2004Q1","Visiting friends/relatives","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2004Q1","Visiting friends/relatives","Dublin","Thousand","114"
"Number of Trips by Irish Residents","2004Q1","Visiting friends/relatives","Mid-East","Thousand","71"
"Number of Trips by Irish Residents","2004Q1","Visiting friends/relatives","Mid-West","Thousand","58"
"Number of Trips by Irish Residents","2004Q1","Visiting friends/relatives","South-East","Thousand","86"
"Number of Trips by Irish Residents","2004Q1","Visiting friends/relatives","South-West","Thousand","128"
"Number of Trips by Irish Residents","2004Q1","Other reasons","State","Thousand","172"
"Number of Trips by Irish Residents","2004Q1","Other reasons","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2004Q1","Other reasons","Border","Thousand","11"
"Number of Trips by Irish Residents","2004Q1","Other reasons","Midland","Thousand","12"
"Number of Trips by Irish Residents","2004Q1","Other reasons","West","Thousand","25"
"Number of Trips by Irish Residents","2004Q1","Other reasons","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2004Q1","Other reasons","Dublin","Thousand","49"
"Number of Trips by Irish Residents","2004Q1","Other reasons","Mid-East","Thousand","6"
"Number of Trips by Irish Residents","2004Q1","Other reasons","Mid-West","Thousand","17"
"Number of Trips by Irish Residents","2004Q1","Other reasons","South-East","Thousand","21"
"Number of Trips by Irish Residents","2004Q1","Other reasons","South-West","Thousand","31"
"Number of Trips by Irish Residents","2004Q2","All reasons for journey","State","Thousand",""
"Number of Trips by Irish Residents","2004Q2","All reasons for journey","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2004Q2","All reasons for journey","Border","Thousand",""
"Number of Trips by Irish Residents","2004Q2","All reasons for journey","Midland","Thousand",""
"Number of Trips by Irish Residents","2004Q2","All reasons for journey","West","Thousand",""
"Number of Trips by Irish Residents","2004Q2","All reasons for journey","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2004Q2","All reasons for journey","Dublin","Thousand",""
"Number of Trips by Irish Residents","2004Q2","All reasons for journey","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2004Q2","All reasons for journey","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2004Q2","All reasons for journey","South-East","Thousand",""
"Number of Trips by Irish Residents","2004Q2","All reasons for journey","South-West","Thousand",""
"Number of Trips by Irish Residents","2004Q2","Holiday","State","Thousand","723"
"Number of Trips by Irish Residents","2004Q2","Holiday","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2004Q2","Holiday","Border","Thousand","68"
"Number of Trips by Irish Residents","2004Q2","Holiday","Midland","Thousand","17"
"Number of Trips by Irish Residents","2004Q2","Holiday","West","Thousand","148"
"Number of Trips by Irish Residents","2004Q2","Holiday","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2004Q2","Holiday","Dublin","Thousand","27"
"Number of Trips by Irish Residents","2004Q2","Holiday","Mid-East","Thousand","25"
"Number of Trips by Irish Residents","2004Q2","Holiday","Mid-West","Thousand","77"
"Number of Trips by Irish Residents","2004Q2","Holiday","South-East","Thousand","161"
"Number of Trips by Irish Residents","2004Q2","Holiday","South-West","Thousand","200"
"Number of Trips by Irish Residents","2004Q2","Business","State","Thousand","163"
"Number of Trips by Irish Residents","2004Q2","Business","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2004Q2","Business","Border","Thousand","22"
"Number of Trips by Irish Residents","2004Q2","Business","Midland","Thousand","12"
"Number of Trips by Irish Residents","2004Q2","Business","West","Thousand","14"
"Number of Trips by Irish Residents","2004Q2","Business","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2004Q2","Business","Dublin","Thousand","45"
"Number of Trips by Irish Residents","2004Q2","Business","Mid-East","Thousand","8"
"Number of Trips by Irish Residents","2004Q2","Business","Mid-West","Thousand","13"
"Number of Trips by Irish Residents","2004Q2","Business","South-East","Thousand","12"
"Number of Trips by Irish Residents","2004Q2","Business","South-West","Thousand","37"
"Number of Trips by Irish Residents","2004Q2","Visiting friends/relatives","State","Thousand","475"
"Number of Trips by Irish Residents","2004Q2","Visiting friends/relatives","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2004Q2","Visiting friends/relatives","Border","Thousand","63"
"Number of Trips by Irish Residents","2004Q2","Visiting friends/relatives","Midland","Thousand","20"
"Number of Trips by Irish Residents","2004Q2","Visiting friends/relatives","West","Thousand","82"
"Number of Trips by Irish Residents","2004Q2","Visiting friends/relatives","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2004Q2","Visiting friends/relatives","Dublin","Thousand","85"
"Number of Trips by Irish Residents","2004Q2","Visiting friends/relatives","Mid-East","Thousand","34"
"Number of Trips by Irish Residents","2004Q2","Visiting friends/relatives","Mid-West","Thousand","45"
"Number of Trips by Irish Residents","2004Q2","Visiting friends/relatives","South-East","Thousand","68"
"Number of Trips by Irish Residents","2004Q2","Visiting friends/relatives","South-West","Thousand","77"
"Number of Trips by Irish Residents","2004Q2","Other reasons","State","Thousand","173"
"Number of Trips by Irish Residents","2004Q2","Other reasons","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2004Q2","Other reasons","Border","Thousand","16"
"Number of Trips by Irish Residents","2004Q2","Other reasons","Midland","Thousand","9"
"Number of Trips by Irish Residents","2004Q2","Other reasons","West","Thousand","33"
"Number of Trips by Irish Residents","2004Q2","Other reasons","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2004Q2","Other reasons","Dublin","Thousand","34"
"Number of Trips by Irish Residents","2004Q2","Other reasons","Mid-East","Thousand","16"
"Number of Trips by Irish Residents","2004Q2","Other reasons","Mid-West","Thousand","16"
"Number of Trips by Irish Residents","2004Q2","Other reasons","South-East","Thousand","19"
"Number of Trips by Irish Residents","2004Q2","Other reasons","South-West","Thousand","29"
"Number of Trips by Irish Residents","2004Q3","All reasons for journey","State","Thousand",""
"Number of Trips by Irish Residents","2004Q3","All reasons for journey","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2004Q3","All reasons for journey","Border","Thousand",""
"Number of Trips by Irish Residents","2004Q3","All reasons for journey","Midland","Thousand",""
"Number of Trips by Irish Residents","2004Q3","All reasons for journey","West","Thousand",""
"Number of Trips by Irish Residents","2004Q3","All reasons for journey","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2004Q3","All reasons for journey","Dublin","Thousand",""
"Number of Trips by Irish Residents","2004Q3","All reasons for journey","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2004Q3","All reasons for journey","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2004Q3","All reasons for journey","South-East","Thousand",""
"Number of Trips by Irish Residents","2004Q3","All reasons for journey","South-West","Thousand",""
"Number of Trips by Irish Residents","2004Q3","Holiday","State","Thousand","1239"
"Number of Trips by Irish Residents","2004Q3","Holiday","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2004Q3","Holiday","Border","Thousand","136"
"Number of Trips by Irish Residents","2004Q3","Holiday","Midland","Thousand","25"
"Number of Trips by Irish Residents","2004Q3","Holiday","West","Thousand","241"
"Number of Trips by Irish Residents","2004Q3","Holiday","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2004Q3","Holiday","Dublin","Thousand","55"
"Number of Trips by Irish Residents","2004Q3","Holiday","Mid-East","Thousand","31"
"Number of Trips by Irish Residents","2004Q3","Holiday","Mid-West","Thousand","121"
"Number of Trips by Irish Residents","2004Q3","Holiday","South-East","Thousand","242"
"Number of Trips by Irish Residents","2004Q3","Holiday","South-West","Thousand","387"
"Number of Trips by Irish Residents","2004Q3","Business","State","Thousand","129"
"Number of Trips by Irish Residents","2004Q3","Business","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2004Q3","Business","Border","Thousand","15"
"Number of Trips by Irish Residents","2004Q3","Business","Midland","Thousand","4"
"Number of Trips by Irish Residents","2004Q3","Business","West","Thousand","15"
"Number of Trips by Irish Residents","2004Q3","Business","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2004Q3","Business","Dublin","Thousand","26"
"Number of Trips by Irish Residents","2004Q3","Business","Mid-East","Thousand","9"
"Number of Trips by Irish Residents","2004Q3","Business","Mid-West","Thousand","16"
"Number of Trips by Irish Residents","2004Q3","Business","South-East","Thousand","16"
"Number of Trips by Irish Residents","2004Q3","Business","South-West","Thousand","27"
"Number of Trips by Irish Residents","2004Q3","Visiting friends/relatives","State","Thousand","559"
"Number of Trips by Irish Residents","2004Q3","Visiting friends/relatives","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2004Q3","Visiting friends/relatives","Border","Thousand","74"
"Number of Trips by Irish Residents","2004Q3","Visiting friends/relatives","Midland","Thousand","39"
"Number of Trips by Irish Residents","2004Q3","Visiting friends/relatives","West","Thousand","83"
"Number of Trips by Irish Residents","2004Q3","Visiting friends/relatives","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2004Q3","Visiting friends/relatives","Dublin","Thousand","82"
"Number of Trips by Irish Residents","2004Q3","Visiting friends/relatives","Mid-East","Thousand","46"
"Number of Trips by Irish Residents","2004Q3","Visiting friends/relatives","Mid-West","Thousand","53"
"Number of Trips by Irish Residents","2004Q3","Visiting friends/relatives","South-East","Thousand","87"
"Number of Trips by Irish Residents","2004Q3","Visiting friends/relatives","South-West","Thousand","95"
"Number of Trips by Irish Residents","2004Q3","Other reasons","State","Thousand","241"
"Number of Trips by Irish Residents","2004Q3","Other reasons","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2004Q3","Other reasons","Border","Thousand","21"
"Number of Trips by Irish Residents","2004Q3","Other reasons","Midland","Thousand","8"
"Number of Trips by Irish Residents","2004Q3","Other reasons","West","Thousand","53"
"Number of Trips by Irish Residents","2004Q3","Other reasons","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2004Q3","Other reasons","Dublin","Thousand","56"
"Number of Trips by Irish Residents","2004Q3","Other reasons","Mid-East","Thousand","18"
"Number of Trips by Irish Residents","2004Q3","Other reasons","Mid-West","Thousand","20"
"Number of Trips by Irish Residents","2004Q3","Other reasons","South-East","Thousand","27"
"Number of Trips by Irish Residents","2004Q3","Other reasons","South-West","Thousand","38"
"Number of Trips by Irish Residents","2004Q4","All reasons for journey","State","Thousand",""
"Number of Trips by Irish Residents","2004Q4","All reasons for journey","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2004Q4","All reasons for journey","Border","Thousand",""
"Number of Trips by Irish Residents","2004Q4","All reasons for journey","Midland","Thousand",""
"Number of Trips by Irish Residents","2004Q4","All reasons for journey","West","Thousand",""
"Number of Trips by Irish Residents","2004Q4","All reasons for journey","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2004Q4","All reasons for journey","Dublin","Thousand",""
"Number of Trips by Irish Residents","2004Q4","All reasons for journey","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2004Q4","All reasons for journey","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2004Q4","All reasons for journey","South-East","Thousand",""
"Number of Trips by Irish Residents","2004Q4","All reasons for journey","South-West","Thousand",""
"Number of Trips by Irish Residents","2004Q4","Holiday","State","Thousand","608"
"Number of Trips by Irish Residents","2004Q4","Holiday","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2004Q4","Holiday","Border","Thousand","47"
"Number of Trips by Irish Residents","2004Q4","Holiday","Midland","Thousand","24"
"Number of Trips by Irish Residents","2004Q4","Holiday","West","Thousand","128"
"Number of Trips by Irish Residents","2004Q4","Holiday","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2004Q4","Holiday","Dublin","Thousand","56"
"Number of Trips by Irish Residents","2004Q4","Holiday","Mid-East","Thousand","32"
"Number of Trips by Irish Residents","2004Q4","Holiday","Mid-West","Thousand","58"
"Number of Trips by Irish Residents","2004Q4","Holiday","South-East","Thousand","116"
"Number of Trips by Irish Residents","2004Q4","Holiday","South-West","Thousand","147"
"Number of Trips by Irish Residents","2004Q4","Business","State","Thousand","149"
"Number of Trips by Irish Residents","2004Q4","Business","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2004Q4","Business","Border","Thousand","14"
"Number of Trips by Irish Residents","2004Q4","Business","Midland","Thousand","12"
"Number of Trips by Irish Residents","2004Q4","Business","West","Thousand","21"
"Number of Trips by Irish Residents","2004Q4","Business","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2004Q4","Business","Dublin","Thousand","42"
"Number of Trips by Irish Residents","2004Q4","Business","Mid-East","Thousand","5"
"Number of Trips by Irish Residents","2004Q4","Business","Mid-West","Thousand","13"
"Number of Trips by Irish Residents","2004Q4","Business","South-East","Thousand","20"
"Number of Trips by Irish Residents","2004Q4","Business","South-West","Thousand","23"
"Number of Trips by Irish Residents","2004Q4","Visiting friends/relatives","State","Thousand","729"
"Number of Trips by Irish Residents","2004Q4","Visiting friends/relatives","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2004Q4","Visiting friends/relatives","Border","Thousand","84"
"Number of Trips by Irish Residents","2004Q4","Visiting friends/relatives","Midland","Thousand","58"
"Number of Trips by Irish Residents","2004Q4","Visiting friends/relatives","West","Thousand","106"
"Number of Trips by Irish Residents","2004Q4","Visiting friends/relatives","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2004Q4","Visiting friends/relatives","Dublin","Thousand","135"
"Number of Trips by Irish Residents","2004Q4","Visiting friends/relatives","Mid-East","Thousand","68"
"Number of Trips by Irish Residents","2004Q4","Visiting friends/relatives","Mid-West","Thousand","69"
"Number of Trips by Irish Residents","2004Q4","Visiting friends/relatives","South-East","Thousand","100"
"Number of Trips by Irish Residents","2004Q4","Visiting friends/relatives","South-West","Thousand","109"
"Number of Trips by Irish Residents","2004Q4","Other reasons","State","Thousand","229"
"Number of Trips by Irish Residents","2004Q4","Other reasons","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2004Q4","Other reasons","Border","Thousand","20"
"Number of Trips by Irish Residents","2004Q4","Other reasons","Midland","Thousand","13"
"Number of Trips by Irish Residents","2004Q4","Other reasons","West","Thousand","30"
"Number of Trips by Irish Residents","2004Q4","Other reasons","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2004Q4","Other reasons","Dublin","Thousand","69"
"Number of Trips by Irish Residents","2004Q4","Other reasons","Mid-East","Thousand","16"
"Number of Trips by Irish Residents","2004Q4","Other reasons","Mid-West","Thousand","19"
"Number of Trips by Irish Residents","2004Q4","Other reasons","South-East","Thousand","23"
"Number of Trips by Irish Residents","2004Q4","Other reasons","South-West","Thousand","39"
"Number of Trips by Irish Residents","2005Q1","All reasons for journey","State","Thousand","1490"
"Number of Trips by Irish Residents","2005Q1","All reasons for journey","Border, Midland and Western","Thousand","501"
"Number of Trips by Irish Residents","2005Q1","All reasons for journey","Border","Thousand",""
"Number of Trips by Irish Residents","2005Q1","All reasons for journey","Midland","Thousand",""
"Number of Trips by Irish Residents","2005Q1","All reasons for journey","West","Thousand",""
"Number of Trips by Irish Residents","2005Q1","All reasons for journey","Southern and Eastern","Thousand","990"
"Number of Trips by Irish Residents","2005Q1","All reasons for journey","Dublin","Thousand",""
"Number of Trips by Irish Residents","2005Q1","All reasons for journey","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2005Q1","All reasons for journey","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2005Q1","All reasons for journey","South-East","Thousand",""
"Number of Trips by Irish Residents","2005Q1","All reasons for journey","South-West","Thousand",""
"Number of Trips by Irish Residents","2005Q1","Holiday","State","Thousand","575"
"Number of Trips by Irish Residents","2005Q1","Holiday","Border, Midland and Western","Thousand","193"
"Number of Trips by Irish Residents","2005Q1","Holiday","Border","Thousand","52"
"Number of Trips by Irish Residents","2005Q1","Holiday","Midland","Thousand","20"
