"Statistic Label","Month","Passenger Category","UNIT","VALUE"
"Percentage of Passengers Departing Overseas","2023 April","All Passenger Categories","%","100"
"Percentage of Passengers Departing Overseas","2023 May","Outbound Irish","%","58.3"
"Percentage of Passengers Departing Overseas","2023 May","Same Day Visitor: Northern Irish","%","5.3"
"Percentage of Passengers Departing Overseas","2023 May","Same Day Visitor: Transfer","%","5.3"
"Percentage of Passengers Departing Overseas","2023 May","Same Day Visitor: Other","%","0.9"
"Percentage of Passengers Departing Overseas","2023 May","Overnight Foreign Resident Visitor","%","30.2"
"Percentage of Passengers Departing Overseas","2023 May","All Passenger Categories","%","100"
"Percentage of Passengers Departing Overseas","2023 June","Outbound Irish","%","59"
"Percentage of Passengers Departing Overseas","2023 June","Same Day Visitor: Northern Irish","%","5.2"
"Percentage of Passengers Departing Overseas","2023 June","Same Day Visitor: Transfer","%","4.9"
"Percentage of Passengers Departing Overseas","2023 June","Same Day Visitor: Other","%","1.2"
"Percentage of Passengers Departing Overseas","2023 June","Overnight Foreign Resident Visitor","%","29.7"
"Percentage of Passengers Departing Overseas","2023 June","All Passenger Categories","%","100"
"Percentage of Passengers Departing Overseas","2023 July","Outbound Irish","%","58.7"
"Percentage of Passengers Departing Overseas","2023 July","Same Day Visitor: Northern Irish","%","5.9"
"Percentage of Passengers Departing Overseas","2023 July","Same Day Visitor: Transfer","%","4.7"
"Percentage of Passengers Departing Overseas","2023 July","Same Day Visitor: Other","%","0.8"
"Percentage of Passengers Departing Overseas","2023 July","Overnight Foreign Resident Visitor","%","29.9"
"Percentage of Passengers Departing Overseas","2023 July","All Passenger Categories","%","100"
"Percentage of Passengers Departing Overseas","2023 August","Outbound Irish","%","55"
"Percentage of Passengers Departing Overseas","2023 August","Same Day Visitor: Northern Irish","%","5.3"
"Percentage of Passengers Departing Overseas","2023 August","Same Day Visitor: Transfer","%","4.4"
"Percentage of Passengers Departing Overseas","2023 August","Same Day Visitor: Other","%","1.7"
"Percentage of Passengers Departing Overseas","2023 August","Overnight Foreign Resident Visitor","%","33.6"
"Percentage of Passengers Departing Overseas","2023 August","All Passenger Categories","%","100"
"Percentage of Passengers Departing Overseas","2023 September","Outbound Irish","%","59.7"
"Percentage of Passengers Departing Overseas","2023 September","Same Day Visitor: Northern Irish","%","4.4"
"Percentage of Passengers Departing Overseas","2023 September","Same Day Visitor: Transfer","%","4.5"
"Percentage of Passengers Departing Overseas","2023 September","Same Day Visitor: Other","%","0.9"
"Percentage of Passengers Departing Overseas","2023 September","Overnight Foreign Resident Visitor","%","30.5"
"Percentage of Passengers Departing Overseas","2023 September","All Passenger Categories","%","100"
"Percentage of Passengers Departing Overseas","2023 October","Outbound Irish","%","59.3"
"Percentage of Passengers Departing Overseas","2023 October","Same Day Visitor: Northern Irish","%","3.7"
"Percentage of Passengers Departing Overseas","2023 October","Same Day Visitor: Transfer","%","4.3"
"Percentage of Passengers Departing Overseas","2023 October","Same Day Visitor: Other","%","1.2"
"Percentage of Passengers Departing Overseas","2023 October","Overnight Foreign Resident Visitor","%","31.6"
"Percentage of Passengers Departing Overseas","2023 October","All Passenger Categories","%","100"
"Percentage of Passengers Departing Overseas","2023 November","Outbound Irish","%","57.9"
"Percentage of Passengers Departing Overseas","2023 November","Same Day Visitor: Northern Irish","%","4"
"Percentage of Passengers Departing Overseas","2023 November","Same Day Visitor: Transfer","%","3.7"
"Percentage of Passengers Departing Overseas","2023 November","Same Day Visitor: Other","%","1.6"
"Percentage of Passengers Departing Overseas","2023 November","Overnight Foreign Resident Visitor","%","32.9"
"Percentage of Passengers Departing Overseas","2023 November","All Passenger Categories","%","100"
"Percentage of Passengers Departing Overseas","2023 December","Outbound Irish","%","60.1"
"Percentage of Passengers Departing Overseas","2023 December","Same Day Visitor: Northern Irish","%","3.8"
"Percentage of Passengers Departing Overseas","2023 December","Same Day Visitor: Transfer","%","4.6"
"Percentage of Passengers Departing Overseas","2023 December","Same Day Visitor: Other","%","1.5"
"Percentage of Passengers Departing Overseas","2023 December","Overnight Foreign Resident Visitor","%","30"
"Percentage of Passengers Departing Overseas","2023 December","All Passenger Categories","%","100"
"Percentage of Passengers Departing Overseas","2024 January","Outbound Irish","%","56.3"
"Percentage of Passengers Departing Overseas","2024 January","Same Day Visitor: Northern Irish","%","3.8"
"Percentage of Passengers Departing Overseas","2024 January","Same Day Visitor: Transfer","%","3.3"
"Percentage of Passengers Departing Overseas","2024 January","Same Day Visitor: Other","%","1.4"
"Percentage of Passengers Departing Overseas","2024 January","Overnight Foreign Resident Visitor","%","35.3"
"Percentage of Passengers Departing Overseas","2024 January","All Passenger Categories","%","100"
