"Statistic Label","Year","Main County Visited","UNIT","VALUE"
"Average Length of Stay by Irish Residents on Domestic Travel","2014","Tipperary","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents on Domestic Travel","2014","Kildare and Carlow","Nights per Trip","1.9"
"Average Length of Stay by Irish Residents on Domestic Travel","2014","Laois and Offaly","Nights per Trip","2.1"
"Average Length of Stay by Irish Residents on Domestic Travel","2014","Louth and Monaghan","Nights per Trip","2.4"
"Average Length of Stay by Irish Residents on Domestic Travel","2014","Cavan and Leitrim","Nights per Trip","2.2"
"Average Length of Stay by Irish Residents on Domestic Travel","2014","Roscommon and Longford","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents on Domestic Travel","2015","State","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents on Domestic Travel","2015","Donegal","Nights per Trip","3.6"
"Average Length of Stay by Irish Residents on Domestic Travel","2015","Sligo","Nights per Trip","3.5"
"Average Length of Stay by Irish Residents on Domestic Travel","2015","Westmeath","Nights per Trip","2"
"Average Length of Stay by Irish Residents on Domestic Travel","2015","Galway","Nights per Trip","3.3"
"Average Length of Stay by Irish Residents on Domestic Travel","2015","Mayo","Nights per Trip","3"
"Average Length of Stay by Irish Residents on Domestic Travel","2015","Dublin","Nights per Trip","2"
"Average Length of Stay by Irish Residents on Domestic Travel","2015","Meath","Nights per Trip","1.7"
"Average Length of Stay by Irish Residents on Domestic Travel","2015","Wicklow","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents on Domestic Travel","2015","Clare","Nights per Trip","3.7"
"Average Length of Stay by Irish Residents on Domestic Travel","2015","Limerick","Nights per Trip","1.9"
"Average Length of Stay by Irish Residents on Domestic Travel","2015","Kilkenny","Nights per Trip","2"
"Average Length of Stay by Irish Residents on Domestic Travel","2015","Waterford","Nights per Trip","3.3"
"Average Length of Stay by Irish Residents on Domestic Travel","2015","Wexford","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents on Domestic Travel","2015","Cork","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents on Domestic Travel","2015","Kerry","Nights per Trip","3.9"
"Average Length of Stay by Irish Residents on Domestic Travel","2015","Tipperary","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents on Domestic Travel","2015","Kildare and Carlow","Nights per Trip","2"
"Average Length of Stay by Irish Residents on Domestic Travel","2015","Laois and Offaly","Nights per Trip","1.9"
"Average Length of Stay by Irish Residents on Domestic Travel","2015","Louth and Monaghan","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents on Domestic Travel","2015","Cavan and Leitrim","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents on Domestic Travel","2015","Roscommon and Longford","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents on Domestic Travel","2016","State","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents on Domestic Travel","2016","Donegal","Nights per Trip","4"
"Average Length of Stay by Irish Residents on Domestic Travel","2016","Sligo","Nights per Trip","3"
"Average Length of Stay by Irish Residents on Domestic Travel","2016","Westmeath","Nights per Trip","1.8"
"Average Length of Stay by Irish Residents on Domestic Travel","2016","Galway","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents on Domestic Travel","2016","Mayo","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents on Domestic Travel","2016","Dublin","Nights per Trip","2.2"
"Average Length of Stay by Irish Residents on Domestic Travel","2016","Meath","Nights per Trip","1.7"
"Average Length of Stay by Irish Residents on Domestic Travel","2016","Wicklow","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents on Domestic Travel","2016","Clare","Nights per Trip","4.3"
"Average Length of Stay by Irish Residents on Domestic Travel","2016","Limerick","Nights per Trip","2.4"
"Average Length of Stay by Irish Residents on Domestic Travel","2016","Kilkenny","Nights per Trip","2"
"Average Length of Stay by Irish Residents on Domestic Travel","2016","Waterford","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents on Domestic Travel","2016","Wexford","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents on Domestic Travel","2016","Cork","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents on Domestic Travel","2016","Kerry","Nights per Trip","3.4"
"Average Length of Stay by Irish Residents on Domestic Travel","2016","Tipperary","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents on Domestic Travel","2016","Kildare and Carlow","Nights per Trip","1.8"
"Average Length of Stay by Irish Residents on Domestic Travel","2016","Laois and Offaly","Nights per Trip","2"
"Average Length of Stay by Irish Residents on Domestic Travel","2016","Louth and Monaghan","Nights per Trip","2.4"
"Average Length of Stay by Irish Residents on Domestic Travel","2016","Cavan and Leitrim","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents on Domestic Travel","2016","Roscommon and Longford","Nights per Trip","1.9"
"Average Length of Stay by Irish Residents on Domestic Travel","2017","State","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents on Domestic Travel","2017","Donegal","Nights per Trip","3.6"
"Average Length of Stay by Irish Residents on Domestic Travel","2017","Sligo","Nights per Trip","3"
"Average Length of Stay by Irish Residents on Domestic Travel","2017","Westmeath","Nights per Trip","1.6"
"Average Length of Stay by Irish Residents on Domestic Travel","2017","Galway","Nights per Trip","3.5"
"Average Length of Stay by Irish Residents on Domestic Travel","2017","Mayo","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents on Domestic Travel","2017","Dublin","Nights per Trip","2.1"
"Average Length of Stay by Irish Residents on Domestic Travel","2017","Meath","Nights per Trip","1.8"
"Average Length of Stay by Irish Residents on Domestic Travel","2017","Wicklow","Nights per Trip","2.2"
"Average Length of Stay by Irish Residents on Domestic Travel","2017","Clare","Nights per Trip","3.4"
"Average Length of Stay by Irish Residents on Domestic Travel","2017","Limerick","Nights per Trip","2.3"
"Average Length of Stay by Irish Residents on Domestic Travel","2017","Kilkenny","Nights per Trip","1.8"
"Average Length of Stay by Irish Residents on Domestic Travel","2017","Waterford","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents on Domestic Travel","2017","Wexford","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents on Domestic Travel","2017","Cork","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents on Domestic Travel","2017","Kerry","Nights per Trip","3"
"Average Length of Stay by Irish Residents on Domestic Travel","2017","Tipperary","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents on Domestic Travel","2017","Kildare and Carlow","Nights per Trip","1.8"
"Average Length of Stay by Irish Residents on Domestic Travel","2017","Laois and Offaly","Nights per Trip","1.9"
"Average Length of Stay by Irish Residents on Domestic Travel","2017","Louth and Monaghan","Nights per Trip","2.4"
"Average Length of Stay by Irish Residents on Domestic Travel","2017","Cavan and Leitrim","Nights per Trip","2.2"
"Average Length of Stay by Irish Residents on Domestic Travel","2017","Roscommon and Longford","Nights per Trip","1.9"
"Average Length of Stay by Irish Residents on Domestic Travel","2018","State","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents on Domestic Travel","2018","Donegal","Nights per Trip","3.4"
"Average Length of Stay by Irish Residents on Domestic Travel","2018","Sligo","Nights per Trip","3.6"
"Average Length of Stay by Irish Residents on Domestic Travel","2018","Westmeath","Nights per Trip","1.7"
"Average Length of Stay by Irish Residents on Domestic Travel","2018","Galway","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents on Domestic Travel","2018","Mayo","Nights per Trip","3.3"
"Average Length of Stay by Irish Residents on Domestic Travel","2018","Dublin","Nights per Trip","2.2"
"Average Length of Stay by Irish Residents on Domestic Travel","2018","Meath","Nights per Trip","1.7"
"Average Length of Stay by Irish Residents on Domestic Travel","2018","Wicklow","Nights per Trip","2.2"
"Average Length of Stay by Irish Residents on Domestic Travel","2018","Clare","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents on Domestic Travel","2018","Limerick","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents on Domestic Travel","2018","Kilkenny","Nights per Trip","2"
"Average Length of Stay by Irish Residents on Domestic Travel","2018","Waterford","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents on Domestic Travel","2018","Wexford","Nights per Trip","3"
"Average Length of Stay by Irish Residents on Domestic Travel","2018","Cork","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents on Domestic Travel","2018","Kerry","Nights per Trip","3.4"
"Average Length of Stay by Irish Residents on Domestic Travel","2018","Tipperary","Nights per Trip","2.2"
"Average Length of Stay by Irish Residents on Domestic Travel","2018","Kildare and Carlow","Nights per Trip","1.7"
"Average Length of Stay by Irish Residents on Domestic Travel","2018","Laois and Offaly","Nights per Trip","1.9"
"Average Length of Stay by Irish Residents on Domestic Travel","2018","Louth and Monaghan","Nights per Trip","2"
"Average Length of Stay by Irish Residents on Domestic Travel","2018","Cavan and Leitrim","Nights per Trip","2"
"Average Length of Stay by Irish Residents on Domestic Travel","2018","Roscommon and Longford","Nights per Trip","1.8"
"Average Length of Stay by Irish Residents on Domestic Travel","2019","State","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents on Domestic Travel","2019","Donegal","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents on Domestic Travel","2019","Sligo","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents on Domestic Travel","2019","Westmeath","Nights per Trip","1.8"
"Average Length of Stay by Irish Residents on Domestic Travel","2019","Galway","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents on Domestic Travel","2019","Mayo","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents on Domestic Travel","2019","Dublin","Nights per Trip","1.9"
"Average Length of Stay by Irish Residents on Domestic Travel","2019","Meath","Nights per Trip","1.8"
"Average Length of Stay by Irish Residents on Domestic Travel","2019","Wicklow","Nights per Trip","2.1"
"Average Length of Stay by Irish Residents on Domestic Travel","2019","Clare","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents on Domestic Travel","2019","Limerick","Nights per Trip","2"
"Average Length of Stay by Irish Residents on Domestic Travel","2019","Kilkenny","Nights per Trip","1.7"
"Average Length of Stay by Irish Residents on Domestic Travel","2019","Waterford","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents on Domestic Travel","2019","Wexford","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents on Domestic Travel","2019","Cork","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents on Domestic Travel","2019","Kerry","Nights per Trip","3.8"
"Average Length of Stay by Irish Residents on Domestic Travel","2019","Tipperary","Nights per Trip","2"
"Average Length of Stay by Irish Residents on Domestic Travel","2019","Kildare and Carlow","Nights per Trip","2"
"Average Length of Stay by Irish Residents on Domestic Travel","2019","Laois and Offaly","Nights per Trip","1.8"
"Average Length of Stay by Irish Residents on Domestic Travel","2019","Louth and Monaghan","Nights per Trip","2"
"Average Length of Stay by Irish Residents on Domestic Travel","2019","Cavan and Leitrim","Nights per Trip","2.4"
"Average Length of Stay by Irish Residents on Domestic Travel","2019","Roscommon and Longford","Nights per Trip","2.1"
"Average Length of Stay by Irish Residents on Domestic Travel","2020","State","Nights per Trip","3"
"Average Length of Stay by Irish Residents on Domestic Travel","2020","Donegal","Nights per Trip","3.9"
"Average Length of Stay by Irish Residents on Domestic Travel","2020","Sligo","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents on Domestic Travel","2020","Westmeath","Nights per Trip","2.3"
"Average Length of Stay by Irish Residents on Domestic Travel","2020","Galway","Nights per Trip","3.3"
"Average Length of Stay by Irish Residents on Domestic Travel","2020","Mayo","Nights per Trip","3.3"
"Average Length of Stay by Irish Residents on Domestic Travel","2020","Dublin","Nights per Trip","2.1"
"Average Length of Stay by Irish Residents on Domestic Travel","2020","Meath","Nights per Trip","1.9"
"Average Length of Stay by Irish Residents on Domestic Travel","2020","Wicklow","Nights per Trip","2.3"
"Average Length of Stay by Irish Residents on Domestic Travel","2020","Clare","Nights per Trip","3.5"
"Average Length of Stay by Irish Residents on Domestic Travel","2020","Limerick","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents on Domestic Travel","2020","Kilkenny","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents on Domestic Travel","2020","Waterford","Nights per Trip","3.4"
"Average Length of Stay by Irish Residents on Domestic Travel","2020","Wexford","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents on Domestic Travel","2020","Cork","Nights per Trip","3.4"
"Average Length of Stay by Irish Residents on Domestic Travel","2020","Kerry","Nights per Trip","3.9"
"Average Length of Stay by Irish Residents on Domestic Travel","2020","Tipperary","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents on Domestic Travel","2020","Kildare and Carlow","Nights per Trip","2.1"
"Average Length of Stay by Irish Residents on Domestic Travel","2020","Laois and Offaly","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents on Domestic Travel","2020","Louth and Monaghan","Nights per Trip","1.9"
"Average Length of Stay by Irish Residents on Domestic Travel","2020","Cavan and Leitrim","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents on Domestic Travel","2020","Roscommon and Longford","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents on Domestic Travel","2021","State","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents on Domestic Travel","2021","Donegal","Nights per Trip","5"
"Average Length of Stay by Irish Residents on Domestic Travel","2021","Sligo","Nights per Trip","3.4"
"Average Length of Stay by Irish Residents on Domestic Travel","2021","Westmeath","Nights per Trip","2.3"
"Average Length of Stay by Irish Residents on Domestic Travel","2021","Galway","Nights per Trip","3.4"
"Average Length of Stay by Irish Residents on Domestic Travel","2021","Mayo","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents on Domestic Travel","2021","Dublin","Nights per Trip","2.4"
"Average Length of Stay by Irish Residents on Domestic Travel","2021","Meath","Nights per Trip","1.5"
"Average Length of Stay by Irish Residents on Domestic Travel","2021","Wicklow","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents on Domestic Travel","2021","Clare","Nights per Trip","3.9"
"Average Length of Stay by Irish Residents on Domestic Travel","2021","Limerick","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents on Domestic Travel","2021","Kilkenny","Nights per Trip","2.4"
"Average Length of Stay by Irish Residents on Domestic Travel","2021","Waterford","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents on Domestic Travel","2021","Wexford","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents on Domestic Travel","2021","Cork","Nights per Trip","3.6"
"Average Length of Stay by Irish Residents on Domestic Travel","2021","Kerry","Nights per Trip","3.8"
"Average Length of Stay by Irish Residents on Domestic Travel","2021","Tipperary","Nights per Trip","2.2"
"Average Length of Stay by Irish Residents on Domestic Travel","2021","Kildare and Carlow","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents on Domestic Travel","2021","Laois and Offaly","Nights per Trip","1.9"
"Average Length of Stay by Irish Residents on Domestic Travel","2021","Louth and Monaghan","Nights per Trip","2.1"
"Average Length of Stay by Irish Residents on Domestic Travel","2021","Cavan and Leitrim","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents on Domestic Travel","2021","Roscommon and Longford","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents on Domestic Travel","2022","State","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents on Domestic Travel","2022","Donegal","Nights per Trip","3.4"
"Average Length of Stay by Irish Residents on Domestic Travel","2022","Sligo","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents on Domestic Travel","2022","Westmeath","Nights per Trip","1.9"
"Average Length of Stay by Irish Residents on Domestic Travel","2022","Galway","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents on Domestic Travel","2022","Mayo","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents on Domestic Travel","2022","Dublin","Nights per Trip","2"
"Average Length of Stay by Irish Residents on Domestic Travel","2022","Meath","Nights per Trip","1.8"
"Average Length of Stay by Irish Residents on Domestic Travel","2022","Wicklow","Nights per Trip","2.2"
"Average Length of Stay by Irish Residents on Domestic Travel","2022","Clare","Nights per Trip","3"
"Average Length of Stay by Irish Residents on Domestic Travel","2022","Limerick","Nights per Trip","2.1"
"Average Length of Stay by Irish Residents on Domestic Travel","2022","Kilkenny","Nights per Trip","2"
"Average Length of Stay by Irish Residents on Domestic Travel","2022","Waterford","Nights per Trip","3"
"Average Length of Stay by Irish Residents on Domestic Travel","2022","Wexford","Nights per Trip","3.3"
"Average Length of Stay by Irish Residents on Domestic Travel","2022","Cork","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents on Domestic Travel","2022","Kerry","Nights per Trip","3"
"Average Length of Stay by Irish Residents on Domestic Travel","2022","Tipperary","Nights per Trip","2"
"Average Length of Stay by Irish Residents on Domestic Travel","2022","Kildare and Carlow","Nights per Trip","2.1"
"Average Length of Stay by Irish Residents on Domestic Travel","2022","Laois and Offaly","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents on Domestic Travel","2022","Louth and Monaghan","Nights per Trip","2.2"
"Average Length of Stay by Irish Residents on Domestic Travel","2022","Cavan and Leitrim","Nights per Trip","2"
"Average Length of Stay by Irish Residents on Domestic Travel","2022","Roscommon and Longford","Nights per Trip","3.2"
