"Statistic Label","Year","Domestic","Reason for Journey","UNIT","VALUE"
"Number of Trips by Irish Residents","2002","Outbound","Other reasons","Thousand","299"
"Number of Trips by Irish Residents","2003","Domestic","All reasons for journey","Thousand","6657"
"Number of Trips by Irish Residents","2003","Domestic","Holiday","Thousand","2933"
"Number of Trips by Irish Residents","2003","Domestic","Business","Thousand","619"
"Number of Trips by Irish Residents","2003","Domestic","Visiting friends/relatives","Thousand","2291"
"Number of Trips by Irish Residents","2003","Domestic","Education and training","Thousand",""
"Number of Trips by Irish Residents","2003","Domestic","Work/looking for work","Thousand",""
"Number of Trips by Irish Residents","2003","Domestic","Sporting events","Thousand",""
"Number of Trips by Irish Residents","2003","Domestic","Other reasons","Thousand","814"
"Number of Trips by Irish Residents","2003","Outbound","All reasons for journey","Thousand","4974"
"Number of Trips by Irish Residents","2003","Outbound","Holiday","Thousand","3162"
"Number of Trips by Irish Residents","2003","Outbound","Business","Thousand","621"
"Number of Trips by Irish Residents","2003","Outbound","Visiting friends/relatives","Thousand","876"
"Number of Trips by Irish Residents","2003","Outbound","Education and training","Thousand",""
"Number of Trips by Irish Residents","2003","Outbound","Work/looking for work","Thousand",""
"Number of Trips by Irish Residents","2003","Outbound","Sporting events","Thousand",""
"Number of Trips by Irish Residents","2003","Outbound","Other reasons","Thousand","315"
"Number of Trips by Irish Residents","2004","Domestic","All reasons for journey","Thousand","7001"
"Number of Trips by Irish Residents","2004","Domestic","Holiday","Thousand","3142"
"Number of Trips by Irish Residents","2004","Domestic","Business","Thousand","624"
"Number of Trips by Irish Residents","2004","Domestic","Visiting friends/relatives","Thousand","2420"
"Number of Trips by Irish Residents","2004","Domestic","Education and training","Thousand",""
"Number of Trips by Irish Residents","2004","Domestic","Work/looking for work","Thousand",""
"Number of Trips by Irish Residents","2004","Domestic","Sporting events","Thousand",""
"Number of Trips by Irish Residents","2004","Domestic","Other reasons","Thousand","815"
"Number of Trips by Irish Residents","2004","Outbound","All reasons for journey","Thousand","5465"
"Number of Trips by Irish Residents","2004","Outbound","Holiday","Thousand","3472"
"Number of Trips by Irish Residents","2004","Outbound","Business","Thousand","684"
"Number of Trips by Irish Residents","2004","Outbound","Visiting friends/relatives","Thousand","985"
"Number of Trips by Irish Residents","2004","Outbound","Education and training","Thousand",""
"Number of Trips by Irish Residents","2004","Outbound","Work/looking for work","Thousand",""
"Number of Trips by Irish Residents","2004","Outbound","Sporting events","Thousand",""
"Number of Trips by Irish Residents","2004","Outbound","Other reasons","Thousand","325"
"Number of Trips by Irish Residents","2005","Domestic","All reasons for journey","Thousand","7173"
"Number of Trips by Irish Residents","2005","Domestic","Holiday","Thousand","3348"
"Number of Trips by Irish Residents","2005","Domestic","Business","Thousand","770"
"Number of Trips by Irish Residents","2005","Domestic","Visiting friends/relatives","Thousand","2298"
"Number of Trips by Irish Residents","2005","Domestic","Education and training","Thousand",""
"Number of Trips by Irish Residents","2005","Domestic","Work/looking for work","Thousand",""
"Number of Trips by Irish Residents","2005","Domestic","Sporting events","Thousand",""
"Number of Trips by Irish Residents","2005","Domestic","Other reasons","Thousand","757"
"Number of Trips by Irish Residents","2005","Outbound","All reasons for journey","Thousand","6189"
"Number of Trips by Irish Residents","2005","Outbound","Holiday","Thousand","3931"
"Number of Trips by Irish Residents","2005","Outbound","Business","Thousand","791"
"Number of Trips by Irish Residents","2005","Outbound","Visiting friends/relatives","Thousand","1118"
"Number of Trips by Irish Residents","2005","Outbound","Education and training","Thousand",""
"Number of Trips by Irish Residents","2005","Outbound","Work/looking for work","Thousand",""
"Number of Trips by Irish Residents","2005","Outbound","Sporting events","Thousand",""
"Number of Trips by Irish Residents","2005","Outbound","Other reasons","Thousand","351"
"Number of Trips by Irish Residents","2006","Domestic","All reasons for journey","Thousand","7310"
"Number of Trips by Irish Residents","2006","Domestic","Holiday","Thousand","3827"
"Number of Trips by Irish Residents","2006","Domestic","Business","Thousand","761"
"Number of Trips by Irish Residents","2006","Domestic","Visiting friends/relatives","Thousand","2254"
"Number of Trips by Irish Residents","2006","Domestic","Education and training","Thousand",""
"Number of Trips by Irish Residents","2006","Domestic","Work/looking for work","Thousand",""
"Number of Trips by Irish Residents","2006","Domestic","Sporting events","Thousand",""
"Number of Trips by Irish Residents","2006","Domestic","Other reasons","Thousand","468"
"Number of Trips by Irish Residents","2006","Outbound","All reasons for journey","Thousand","6981"
"Number of Trips by Irish Residents","2006","Outbound","Holiday","Thousand","4612"
"Number of Trips by Irish Residents","2006","Outbound","Business","Thousand","783"
"Number of Trips by Irish Residents","2006","Outbound","Visiting friends/relatives","Thousand","1317"
"Number of Trips by Irish Residents","2006","Outbound","Education and training","Thousand",""
"Number of Trips by Irish Residents","2006","Outbound","Work/looking for work","Thousand",""
"Number of Trips by Irish Residents","2006","Outbound","Sporting events","Thousand",""
"Number of Trips by Irish Residents","2006","Outbound","Other reasons","Thousand","268"
"Number of Trips by Irish Residents","2007","Domestic","All reasons for journey","Thousand","7942"
"Number of Trips by Irish Residents","2007","Domestic","Holiday","Thousand","4271"
"Number of Trips by Irish Residents","2007","Domestic","Business","Thousand","711"
"Number of Trips by Irish Residents","2007","Domestic","Visiting friends/relatives","Thousand","2420"
"Number of Trips by Irish Residents","2007","Domestic","Education and training","Thousand",""
"Number of Trips by Irish Residents","2007","Domestic","Work/looking for work","Thousand",""
"Number of Trips by Irish Residents","2007","Domestic","Sporting events","Thousand",""
"Number of Trips by Irish Residents","2007","Domestic","Other reasons","Thousand","541"
"Number of Trips by Irish Residents","2007","Outbound","All reasons for journey","Thousand","7830"
"Number of Trips by Irish Residents","2007","Outbound","Holiday","Thousand","5448"
"Number of Trips by Irish Residents","2007","Outbound","Business","Thousand","723"
"Number of Trips by Irish Residents","2007","Outbound","Visiting friends/relatives","Thousand","1356"
"Number of Trips by Irish Residents","2007","Outbound","Education and training","Thousand",""
"Number of Trips by Irish Residents","2007","Outbound","Work/looking for work","Thousand",""
"Number of Trips by Irish Residents","2007","Outbound","Sporting events","Thousand",""
"Number of Trips by Irish Residents","2007","Outbound","Other reasons","Thousand","303"
"Number of Trips by Irish Residents","2008","Domestic","All reasons for journey","Thousand","8339"
"Number of Trips by Irish Residents","2008","Domestic","Holiday","Thousand","4398"
"Number of Trips by Irish Residents","2008","Domestic","Business","Thousand","658"
"Number of Trips by Irish Residents","2008","Domestic","Visiting friends/relatives","Thousand","2656"
"Number of Trips by Irish Residents","2008","Domestic","Education and training","Thousand",""
"Number of Trips by Irish Residents","2008","Domestic","Work/looking for work","Thousand",""
"Number of Trips by Irish Residents","2008","Domestic","Sporting events","Thousand",""
"Number of Trips by Irish Residents","2008","Domestic","Other reasons","Thousand","627"
"Number of Trips by Irish Residents","2008","Outbound","All reasons for journey","Thousand","8042"
"Number of Trips by Irish Residents","2008","Outbound","Holiday","Thousand","5557"
"Number of Trips by Irish Residents","2008","Outbound","Business","Thousand","668"
"Number of Trips by Irish Residents","2008","Outbound","Visiting friends/relatives","Thousand","1455"
"Number of Trips by Irish Residents","2008","Outbound","Education and training","Thousand",""
"Number of Trips by Irish Residents","2008","Outbound","Work/looking for work","Thousand",""
"Number of Trips by Irish Residents","2008","Outbound","Sporting events","Thousand",""
"Number of Trips by Irish Residents","2008","Outbound","Other reasons","Thousand","362"
"Number of Trips by Irish Residents","2009","Domestic","All reasons for journey","Thousand","8340"
"Number of Trips by Irish Residents","2009","Domestic","Holiday","Thousand","4037"
"Number of Trips by Irish Residents","2009","Domestic","Business","Thousand","600"
"Number of Trips by Irish Residents","2009","Domestic","Visiting friends/relatives","Thousand","2712"
"Number of Trips by Irish Residents","2009","Domestic","Education and training","Thousand","173"
"Number of Trips by Irish Residents","2009","Domestic","Work/looking for work","Thousand",""
"Number of Trips by Irish Residents","2009","Domestic","Sporting events","Thousand","282"
"Number of Trips by Irish Residents","2009","Domestic","Other reasons","Thousand","535"
"Number of Trips by Irish Residents","2009","Outbound","All reasons for journey","Thousand","7292"
"Number of Trips by Irish Residents","2009","Outbound","Holiday","Thousand","4499"
"Number of Trips by Irish Residents","2009","Outbound","Business","Thousand","638"
"Number of Trips by Irish Residents","2009","Outbound","Visiting friends/relatives","Thousand","1523"
"Number of Trips by Irish Residents","2009","Outbound","Education and training","Thousand","137"
"Number of Trips by Irish Residents","2009","Outbound","Work/looking for work","Thousand",""
"Number of Trips by Irish Residents","2009","Outbound","Sporting events","Thousand","275"
"Number of Trips by Irish Residents","2009","Outbound","Other reasons","Thousand","220"
"Number of Trips by Irish Residents","2010","Domestic","All reasons for journey","Thousand","7300"
"Number of Trips by Irish Residents","2010","Domestic","Holiday","Thousand","3978"
"Number of Trips by Irish Residents","2010","Domestic","Business","Thousand","370"
"Number of Trips by Irish Residents","2010","Domestic","Visiting friends/relatives","Thousand","1997"
"Number of Trips by Irish Residents","2010","Domestic","Education and training","Thousand","129"
"Number of Trips by Irish Residents","2010","Domestic","Work/looking for work","Thousand","113"
"Number of Trips by Irish Residents","2010","Domestic","Sporting events","Thousand","237"
"Number of Trips by Irish Residents","2010","Domestic","Other reasons","Thousand","476"
"Number of Trips by Irish Residents","2010","Outbound","All reasons for journey","Thousand","6917"
"Number of Trips by Irish Residents","2010","Outbound","Holiday","Thousand","3964"
"Number of Trips by Irish Residents","2010","Outbound","Business","Thousand","621"
"Number of Trips by Irish Residents","2010","Outbound","Visiting friends/relatives","Thousand","1592"
"Number of Trips by Irish Residents","2010","Outbound","Education and training","Thousand","121"
"Number of Trips by Irish Residents","2010","Outbound","Work/looking for work","Thousand","98"
"Number of Trips by Irish Residents","2010","Outbound","Sporting events","Thousand","224"
"Number of Trips by Irish Residents","2010","Outbound","Other reasons","Thousand","297"
"Number of Trips by Irish Residents","2011","Domestic","All reasons for journey","Thousand","7169"
"Number of Trips by Irish Residents","2011","Domestic","Holiday","Thousand","3696"
"Number of Trips by Irish Residents","2011","Domestic","Business","Thousand","350"
"Number of Trips by Irish Residents","2011","Domestic","Visiting friends/relatives","Thousand","2231"
"Number of Trips by Irish Residents","2011","Domestic","Education and training","Thousand","83"
"Number of Trips by Irish Residents","2011","Domestic","Work/looking for work","Thousand","121"
"Number of Trips by Irish Residents","2011","Domestic","Sporting events","Thousand","238"
"Number of Trips by Irish Residents","2011","Domestic","Other reasons","Thousand","449"
"Number of Trips by Irish Residents","2011","Outbound","All reasons for journey","Thousand","6514"
"Number of Trips by Irish Residents","2011","Outbound","Holiday","Thousand","3433"
"Number of Trips by Irish Residents","2011","Outbound","Business","Thousand","651"
"Number of Trips by Irish Residents","2011","Outbound","Visiting friends/relatives","Thousand","1662"
"Number of Trips by Irish Residents","2011","Outbound","Education and training","Thousand","90"
"Number of Trips by Irish Residents","2011","Outbound","Work/looking for work","Thousand","113"
"Number of Trips by Irish Residents","2011","Outbound","Sporting events","Thousand","252"
"Number of Trips by Irish Residents","2011","Outbound","Other reasons","Thousand","313"
"Number of Trips by Irish Residents","2012","Domestic","All reasons for journey","Thousand","8291"
"Number of Trips by Irish Residents","2012","Domestic","Holiday","Thousand","4036"
"Number of Trips by Irish Residents","2012","Domestic","Business","Thousand","350"
"Number of Trips by Irish Residents","2012","Domestic","Visiting friends/relatives","Thousand","2765"
"Number of Trips by Irish Residents","2012","Domestic","Education and training","Thousand","155"
"Number of Trips by Irish Residents","2012","Domestic","Work/looking for work","Thousand","130"
"Number of Trips by Irish Residents","2012","Domestic","Sporting events","Thousand","295"
"Number of Trips by Irish Residents","2012","Domestic","Other reasons","Thousand","560"
"Number of Trips by Irish Residents","2012","Outbound","All reasons for journey","Thousand","6623"
"Number of Trips by Irish Residents","2012","Outbound","Holiday","Thousand","3817"
"Number of Trips by Irish Residents","2012","Outbound","Business","Thousand","584"
"Number of Trips by Irish Residents","2012","Outbound","Visiting friends/relatives","Thousand","1472"
"Number of Trips by Irish Residents","2012","Outbound","Education and training","Thousand","102"
"Number of Trips by Irish Residents","2012","Outbound","Work/looking for work","Thousand","120"
"Number of Trips by Irish Residents","2012","Outbound","Sporting events","Thousand","300"
"Number of Trips by Irish Residents","2012","Outbound","Other reasons","Thousand","227"
"Number of Trips by Irish Residents","2013","Domestic","All reasons for journey","Thousand","8413"
"Number of Trips by Irish Residents","2013","Domestic","Holiday","Thousand","4073"
"Number of Trips by Irish Residents","2013","Domestic","Business","Thousand","364"
"Number of Trips by Irish Residents","2013","Domestic","Visiting friends/relatives","Thousand","2988"
"Number of Trips by Irish Residents","2013","Domestic","Education and training","Thousand","142"
"Number of Trips by Irish Residents","2013","Domestic","Work/looking for work","Thousand","84"
"Number of Trips by Irish Residents","2013","Domestic","Sporting events","Thousand","269"
"Number of Trips by Irish Residents","2013","Domestic","Other reasons","Thousand","493"
"Number of Trips by Irish Residents","2013","Outbound","All reasons for journey","Thousand","6575"
"Number of Trips by Irish Residents","2013","Outbound","Holiday","Thousand","3659"
"Number of Trips by Irish Residents","2013","Outbound","Business","Thousand","652"
"Number of Trips by Irish Residents","2013","Outbound","Visiting friends/relatives","Thousand","1624"
"Number of Trips by Irish Residents","2013","Outbound","Education and training","Thousand","85"
"Number of Trips by Irish Residents","2013","Outbound","Work/looking for work","Thousand","135"
"Number of Trips by Irish Residents","2013","Outbound","Sporting events","Thousand","222"
"Number of Trips by Irish Residents","2013","Outbound","Other reasons","Thousand","197"
"Number of Trips by Irish Residents","2014","Domestic","All reasons for journey","Thousand","8991"
"Number of Trips by Irish Residents","2014","Domestic","Holiday","Thousand","4436"
"Number of Trips by Irish Residents","2014","Domestic","Business","Thousand","453"
"Number of Trips by Irish Residents","2014","Domestic","Visiting friends/relatives","Thousand","2918"
"Number of Trips by Irish Residents","2014","Domestic","Education and training","Thousand","128"
"Number of Trips by Irish Residents","2014","Domestic","Work/looking for work","Thousand","101"
"Number of Trips by Irish Residents","2014","Domestic","Sporting events","Thousand","396"
"Number of Trips by Irish Residents","2014","Domestic","Other reasons","Thousand","559"
"Number of Trips by Irish Residents","2014","Outbound","All reasons for journey","Thousand","6677"
"Number of Trips by Irish Residents","2014","Outbound","Holiday","Thousand","3675"
"Number of Trips by Irish Residents","2014","Outbound","Business","Thousand","729"
"Number of Trips by Irish Residents","2014","Outbound","Visiting friends/relatives","Thousand","1620"
"Number of Trips by Irish Residents","2014","Outbound","Education and training","Thousand","85"
"Number of Trips by Irish Residents","2014","Outbound","Work/looking for work","Thousand","115"
"Number of Trips by Irish Residents","2014","Outbound","Sporting events","Thousand","255"
"Number of Trips by Irish Residents","2014","Outbound","Other reasons","Thousand","198"
"Number of Trips by Irish Residents","2015","Domestic","All reasons for journey","Thousand","9125"
"Number of Trips by Irish Residents","2015","Domestic","Holiday","Thousand","4658"
"Number of Trips by Irish Residents","2015","Domestic","Business","Thousand","407"
"Number of Trips by Irish Residents","2015","Domestic","Visiting friends/relatives","Thousand","2921"
"Number of Trips by Irish Residents","2015","Domestic","Education and training","Thousand","167"
"Number of Trips by Irish Residents","2015","Domestic","Work/looking for work","Thousand","80"
"Number of Trips by Irish Residents","2015","Domestic","Sporting events","Thousand","331"
"Number of Trips by Irish Residents","2015","Domestic","Other reasons","Thousand","559"
"Number of Trips by Irish Residents","2015","Outbound","All reasons for journey","Thousand","7094"
"Number of Trips by Irish Residents","2015","Outbound","Holiday","Thousand","4219"
"Number of Trips by Irish Residents","2015","Outbound","Business","Thousand","767"
"Number of Trips by Irish Residents","2015","Outbound","Visiting friends/relatives","Thousand","1430"
"Number of Trips by Irish Residents","2015","Outbound","Education and training","Thousand","88"
"Number of Trips by Irish Residents","2015","Outbound","Work/looking for work","Thousand","104"
"Number of Trips by Irish Residents","2015","Outbound","Sporting events","Thousand","291"
"Number of Trips by Irish Residents","2015","Outbound","Other reasons","Thousand","194"
"Number of Trips by Irish Residents","2016","Domestic","All reasons for journey","Thousand","9359"
"Number of Trips by Irish Residents","2016","Domestic","Holiday","Thousand","4870"
"Number of Trips by Irish Residents","2016","Domestic","Business","Thousand","431"
"Number of Trips by Irish Residents","2016","Domestic","Visiting friends/relatives","Thousand","3045"
"Number of Trips by Irish Residents","2016","Domestic","Education and training","Thousand","157"
"Number of Trips by Irish Residents","2016","Domestic","Work/looking for work","Thousand","84"
"Number of Trips by Irish Residents","2016","Domestic","Sporting events","Thousand","296"
"Number of Trips by Irish Residents","2016","Domestic","Other reasons","Thousand","477"
"Number of Trips by Irish Residents","2016","Outbound","All reasons for journey","Thousand","7644"
"Number of Trips by Irish Residents","2016","Outbound","Holiday","Thousand","4244"
"Number of Trips by Irish Residents","2016","Outbound","Business","Thousand","897"
"Number of Trips by Irish Residents","2016","Outbound","Visiting friends/relatives","Thousand","1747"
"Number of Trips by Irish Residents","2016","Outbound","Education and training","Thousand","100"
"Number of Trips by Irish Residents","2016","Outbound","Work/looking for work","Thousand","107"
"Number of Trips by Irish Residents","2016","Outbound","Sporting events","Thousand","264"
"Number of Trips by Irish Residents","2016","Outbound","Other reasons","Thousand","285"
"Number of Trips by Irish Residents","2017","Domestic","All reasons for journey","Thousand","9626"
"Number of Trips by Irish Residents","2017","Domestic","Holiday","Thousand","4886"
"Number of Trips by Irish Residents","2017","Domestic","Business","Thousand","426"
"Number of Trips by Irish Residents","2017","Domestic","Visiting friends/relatives","Thousand","3096"
"Number of Trips by Irish Residents","2017","Domestic","Education and training","Thousand","218"
"Number of Trips by Irish Residents","2017","Domestic","Work/looking for work","Thousand","68"
"Number of Trips by Irish Residents","2017","Domestic","Sporting events","Thousand","335"
"Number of Trips by Irish Residents","2017","Domestic","Other reasons","Thousand","598"
"Number of Trips by Irish Residents","2017","Outbound","All reasons for journey","Thousand","8171"
"Number of Trips by Irish Residents","2017","Outbound","Holiday","Thousand","4912"
"Number of Trips by Irish Residents","2017","Outbound","Business","Thousand","753"
"Number of Trips by Irish Residents","2017","Outbound","Visiting friends/relatives","Thousand","1730"
"Number of Trips by Irish Residents","2017","Outbound","Education and training","Thousand","113"
"Number of Trips by Irish Residents","2017","Outbound","Work/looking for work","Thousand","111"
"Number of Trips by Irish Residents","2017","Outbound","Sporting events","Thousand","288"
"Number of Trips by Irish Residents","2017","Outbound","Other reasons","Thousand","263"
"Number of Trips by Irish Residents","2018","Domestic","All reasons for journey","Thousand","10919"
"Number of Trips by Irish Residents","2018","Domestic","Holiday","Thousand","5323"
"Number of Trips by Irish Residents","2018","Domestic","Business","Thousand","473"
"Number of Trips by Irish Residents","2018","Domestic","Visiting friends/relatives","Thousand","3759"
"Number of Trips by Irish Residents","2018","Domestic","Education and training","Thousand","183"
"Number of Trips by Irish Residents","2018","Domestic","Work/looking for work","Thousand","130"
"Number of Trips by Irish Residents","2018","Domestic","Sporting events","Thousand","387"
"Number of Trips by Irish Residents","2018","Domestic","Other reasons","Thousand","664"
"Number of Trips by Irish Residents","2018","Outbound","All reasons for journey","Thousand","8643"
"Number of Trips by Irish Residents","2018","Outbound","Holiday","Thousand","5155"
"Number of Trips by Irish Residents","2018","Outbound","Business","Thousand","854"
"Number of Trips by Irish Residents","2018","Outbound","Visiting friends/relatives","Thousand","1884"
"Number of Trips by Irish Residents","2018","Outbound","Education and training","Thousand","111"
"Number of Trips by Irish Residents","2018","Outbound","Work/looking for work","Thousand","62"
"Number of Trips by Irish Residents","2018","Outbound","Sporting events","Thousand","326"
"Number of Trips by Irish Residents","2018","Outbound","Other reasons","Thousand","250"
"Number of Trips by Irish Residents","2019","Domestic","All reasons for journey","Thousand","11621"
"Number of Trips by Irish Residents","2019","Domestic","Holiday","Thousand","5819"
"Number of Trips by Irish Residents","2019","Domestic","Business","Thousand","551"
"Number of Trips by Irish Residents","2019","Domestic","Visiting friends/relatives","Thousand","3847"
"Number of Trips by Irish Residents","2019","Domestic","Education and training","Thousand","188"
"Number of Trips by Irish Residents","2019","Domestic","Work/looking for work","Thousand","159"
"Number of Trips by Irish Residents","2019","Domestic","Sporting events","Thousand","392"
"Number of Trips by Irish Residents","2019","Domestic","Other reasons","Thousand","665"
"Number of Trips by Irish Residents","2019","Outbound","All reasons for journey","Thousand","9350"
"Number of Trips by Irish Residents","2019","Outbound","Holiday","Thousand","5566"
"Number of Trips by Irish Residents","2019","Outbound","Business","Thousand","892"
"Number of Trips by Irish Residents","2019","Outbound","Visiting friends/relatives","Thousand","1936"
"Number of Trips by Irish Residents","2019","Outbound","Education and training","Thousand","148"
"Number of Trips by Irish Residents","2019","Outbound","Work/looking for work","Thousand","130"
"Number of Trips by Irish Residents","2019","Outbound","Sporting events","Thousand","368"
"Number of Trips by Irish Residents","2019","Outbound","Other reasons","Thousand","309"
"Number of Trips by Irish Residents","2020","Domestic","All reasons for journey","Thousand","7721"
"Number of Trips by Irish Residents","2020","Domestic","Holiday","Thousand","4155"
"Number of Trips by Irish Residents","2020","Domestic","Business","Thousand","243"
"Number of Trips by Irish Residents","2020","Domestic","Visiting friends/relatives","Thousand","2609"
"Number of Trips by Irish Residents","2020","Domestic","Education and training","Thousand",""
"Number of Trips by Irish Residents","2020","Domestic","Work/looking for work","Thousand",""
"Number of Trips by Irish Residents","2020","Domestic","Sporting events","Thousand",""
"Number of Trips by Irish Residents","2020","Domestic","Other reasons","Thousand","715"
"Number of Trips by Irish Residents","2020","Outbound","All reasons for journey","Thousand","2365"
"Number of Trips by Irish Residents","2020","Outbound","Holiday","Thousand",""
"Number of Trips by Irish Residents","2020","Outbound","Business","Thousand",""
"Number of Trips by Irish Residents","2020","Outbound","Visiting friends/relatives","Thousand",""
"Number of Trips by Irish Residents","2020","Outbound","Education and training","Thousand",""
"Number of Trips by Irish Residents","2020","Outbound","Work/looking for work","Thousand",""
"Number of Trips by Irish Residents","2020","Outbound","Sporting events","Thousand",""
"Number of Trips by Irish Residents","2020","Outbound","Other reasons","Thousand",""
"Number of Trips by Irish Residents","2021","Domestic","All reasons for journey","Thousand","5663"
"Number of Trips by Irish Residents","2021","Domestic","Holiday","Thousand","3164"
"Number of Trips by Irish Residents","2021","Domestic","Business","Thousand","165"
"Number of Trips by Irish Residents","2021","Domestic","Visiting friends/relatives","Thousand","1880"
"Number of Trips by Irish Residents","2021","Domestic","Education and training","Thousand",""
"Number of Trips by Irish Residents","2021","Domestic","Work/looking for work","Thousand",""
"Number of Trips by Irish Residents","2021","Domestic","Sporting events","Thousand",""
"Number of Trips by Irish Residents","2021","Domestic","Other reasons","Thousand","454"
"Number of Trips by Irish Residents","2021","Outbound","All reasons for journey","Thousand","2276"
"Number of Trips by Irish Residents","2021","Outbound","Holiday","Thousand","1080"
"Number of Trips by Irish Residents","2021","Outbound","Business","Thousand","171"
"Number of Trips by Irish Residents","2021","Outbound","Visiting friends/relatives","Thousand","742"
"Number of Trips by Irish Residents","2021","Outbound","Education and training","Thousand",""
"Number of Trips by Irish Residents","2021","Outbound","Work/looking for work","Thousand",""
"Number of Trips by Irish Residents","2021","Outbound","Sporting events","Thousand",""
"Number of Trips by Irish Residents","2021","Outbound","Other reasons","Thousand","283"
"Number of Trips by Irish Residents","2022","Domestic","All reasons for journey","Thousand","13274"
"Number of Trips by Irish Residents","2022","Domestic","Holiday","Thousand","6620"
"Number of Trips by Irish Residents","2022","Domestic","Business","Thousand","528"
"Number of Trips by Irish Residents","2022","Domestic","Visiting friends/relatives","Thousand","4558"
"Number of Trips by Irish Residents","2022","Domestic","Education and training","Thousand",""
"Number of Trips by Irish Residents","2022","Domestic","Work/looking for work","Thousand",""
"Number of Trips by Irish Residents","2022","Domestic","Sporting events","Thousand",""
"Number of Trips by Irish Residents","2022","Domestic","Other reasons","Thousand","1568"
"Number of Trips by Irish Residents","2022","Outbound","All reasons for journey","Thousand","8546"
"Number of Trips by Irish Residents","2022","Outbound","Holiday","Thousand","5385"
"Number of Trips by Irish Residents","2022","Outbound","Business","Thousand","502"
"Number of Trips by Irish Residents","2022","Outbound","Visiting friends/relatives","Thousand","2082"
"Number of Trips by Irish Residents","2022","Outbound","Education and training","Thousand",""
"Number of Trips by Irish Residents","2022","Outbound","Work/looking for work","Thousand",""
"Number of Trips by Irish Residents","2022","Outbound","Sporting events","Thousand",""
"Number of Trips by Irish Residents","2022","Outbound","Other reasons","Thousand","576"
"Number of Nights by Irish Residents","2000","Domestic","All reasons for journey","Thousand","20703"
"Number of Nights by Irish Residents","2000","Domestic","Holiday","Thousand","11465"
