"Statistic Label","Area of Residence","Quarter","UNIT","VALUE"
"Overseas Visits to Ireland","Great Britain","2006Q2","Thousand","1082"
"Overseas Visits to Ireland","Great Britain","2006Q3","Thousand","1240"
"Overseas Visits to Ireland","Great Britain","2006Q4","Thousand","919"
"Overseas Visits to Ireland","Great Britain","2007Q1","Thousand","771"
"Overseas Visits to Ireland","Great Britain","2007Q2","Thousand","1074"
"Overseas Visits to Ireland","Great Britain","2007Q3","Thousand","1269"
"Overseas Visits to Ireland","Great Britain","2007Q4","Thousand","922"
"Overseas Visits to Ireland","Great Britain","2008Q1","Thousand","849"
"Overseas Visits to Ireland","Great Britain","2008Q2","Thousand","1023"
"Overseas Visits to Ireland","Great Britain","2008Q3","Thousand","1149"
"Overseas Visits to Ireland","Great Britain","2008Q4","Thousand","851"
"Overseas Visits to Ireland","Other Europe","1985Q1","Thousand","35"
"Overseas Visits to Ireland","Other Europe","1985Q2","Thousand","83"
"Overseas Visits to Ireland","Other Europe","1985Q3","Thousand","166"
"Overseas Visits to Ireland","Other Europe","1985Q4","Thousand","42"
"Overseas Visits to Ireland","Other Europe","1986Q1","Thousand","31"
"Overseas Visits to Ireland","Other Europe","1986Q2","Thousand","86"
"Overseas Visits to Ireland","Other Europe","1986Q3","Thousand","163"
"Overseas Visits to Ireland","Other Europe","1986Q4","Thousand","46"
"Overseas Visits to Ireland","Other Europe","1987Q1","Thousand","32"
"Overseas Visits to Ireland","Other Europe","1987Q2","Thousand","106"
"Overseas Visits to Ireland","Other Europe","1987Q3","Thousand","193"
"Overseas Visits to Ireland","Other Europe","1987Q4","Thousand","51"
"Overseas Visits to Ireland","Other Europe","1988Q1","Thousand","41"
"Overseas Visits to Ireland","Other Europe","1988Q2","Thousand","109"
"Overseas Visits to Ireland","Other Europe","1988Q3","Thousand","190"
"Overseas Visits to Ireland","Other Europe","1988Q4","Thousand","57"
"Overseas Visits to Ireland","Other Europe","1989Q1","Thousand","58"
"Overseas Visits to Ireland","Other Europe","1989Q2","Thousand","138"
"Overseas Visits to Ireland","Other Europe","1989Q3","Thousand","271"
"Overseas Visits to Ireland","Other Europe","1989Q4","Thousand","71"
"Overseas Visits to Ireland","Other Europe","1990Q1","Thousand","60"
"Overseas Visits to Ireland","Other Europe","1990Q2","Thousand","211"
"Overseas Visits to Ireland","Other Europe","1990Q3","Thousand","367"
"Overseas Visits to Ireland","Other Europe","1990Q4","Thousand","93"
"Overseas Visits to Ireland","Other Europe","1991Q1","Thousand","71"
"Overseas Visits to Ireland","Other Europe","1991Q2","Thousand","234"
"Overseas Visits to Ireland","Other Europe","1991Q3","Thousand","413"
"Overseas Visits to Ireland","Other Europe","1991Q4","Thousand","105"
"Overseas Visits to Ireland","Other Europe","1992Q1","Thousand","79"
"Overseas Visits to Ireland","Other Europe","1992Q2","Thousand","242"
"Overseas Visits to Ireland","Other Europe","1992Q3","Thousand","424"
"Overseas Visits to Ireland","Other Europe","1992Q4","Thousand","110"
"Overseas Visits to Ireland","Other Europe","1993Q1","Thousand","85"
"Overseas Visits to Ireland","Other Europe","1993Q2","Thousand","248"
"Overseas Visits to Ireland","Other Europe","1993Q3","Thousand","465"
"Overseas Visits to Ireland","Other Europe","1993Q4","Thousand","126"
"Overseas Visits to Ireland","Other Europe","1994Q1","Thousand","93"
"Overseas Visits to Ireland","Other Europe","1994Q2","Thousand","268"
"Overseas Visits to Ireland","Other Europe","1994Q3","Thousand","474"
"Overseas Visits to Ireland","Other Europe","1994Q4","Thousand","136"
"Overseas Visits to Ireland","Other Europe","1995Q1","Thousand","112"
"Overseas Visits to Ireland","Other Europe","1995Q2","Thousand","293"
"Overseas Visits to Ireland","Other Europe","1995Q3","Thousand","527"
"Overseas Visits to Ireland","Other Europe","1995Q4","Thousand","152"
"Overseas Visits to Ireland","Other Europe","1996Q1","Thousand","122"
"Overseas Visits to Ireland","Other Europe","1996Q2","Thousand","342"
"Overseas Visits to Ireland","Other Europe","1996Q3","Thousand","536"
"Overseas Visits to Ireland","Other Europe","1996Q4","Thousand","164"
"Overseas Visits to Ireland","Other Europe","1997Q1","Thousand","139"
"Overseas Visits to Ireland","Other Europe","1997Q2","Thousand","335"
"Overseas Visits to Ireland","Other Europe","1997Q3","Thousand","531"
"Overseas Visits to Ireland","Other Europe","1997Q4","Thousand","171"
"Overseas Visits to Ireland","Other Europe","1998Q1","Thousand","149"
"Overseas Visits to Ireland","Other Europe","1998Q2","Thousand","349"
"Overseas Visits to Ireland","Other Europe","1998Q3","Thousand","568"
"Overseas Visits to Ireland","Other Europe","1998Q4","Thousand","197"
"Overseas Visits to Ireland","Other Europe","1999Q1","Thousand","178"
"Overseas Visits to Ireland","Other Europe","1999Q2","Thousand","355"
"Overseas Visits to Ireland","Other Europe","1999Q3","Thousand","574"
"Overseas Visits to Ireland","Other Europe","1999Q4","Thousand","227"
"Overseas Visits to Ireland","Other Europe","2000Q1","Thousand","188"
"Overseas Visits to Ireland","Other Europe","2000Q2","Thousand","394"
"Overseas Visits to Ireland","Other Europe","2000Q3","Thousand","606"
"Overseas Visits to Ireland","Other Europe","2000Q4","Thousand","265"
"Overseas Visits to Ireland","Other Europe","2001Q1","Thousand","202"
"Overseas Visits to Ireland","Other Europe","2001Q2","Thousand","392"
"Overseas Visits to Ireland","Other Europe","2001Q3","Thousand","531"
"Overseas Visits to Ireland","Other Europe","2001Q4","Thousand","231"
"Overseas Visits to Ireland","Other Europe","2002Q1","Thousand","212"
"Overseas Visits to Ireland","Other Europe","2002Q2","Thousand","394"
"Overseas Visits to Ireland","Other Europe","2002Q3","Thousand","526"
"Overseas Visits to Ireland","Other Europe","2002Q4","Thousand","259"
"Overseas Visits to Ireland","Other Europe","2003Q1","Thousand","233"
"Overseas Visits to Ireland","Other Europe","2003Q2","Thousand","416"
"Overseas Visits to Ireland","Other Europe","2003Q3","Thousand","575"
"Overseas Visits to Ireland","Other Europe","2003Q4","Thousand","274"
"Overseas Visits to Ireland","Other Europe","2004Q1","Thousand","241"
"Overseas Visits to Ireland","Other Europe","2004Q2","Thousand","453"
"Overseas Visits to Ireland","Other Europe","2004Q3","Thousand","584"
"Overseas Visits to Ireland","Other Europe","2004Q4","Thousand","322"
"Overseas Visits to Ireland","Other Europe","2005Q1","Thousand","321"
"Overseas Visits to Ireland","Other Europe","2005Q2","Thousand","504"
"Overseas Visits to Ireland","Other Europe","2005Q3","Thousand","662"
"Overseas Visits to Ireland","Other Europe","2005Q4","Thousand","428"
"Overseas Visits to Ireland","Other Europe","2006Q1","Thousand","373"
"Overseas Visits to Ireland","Other Europe","2006Q2","Thousand","637"
"Overseas Visits to Ireland","Other Europe","2006Q3","Thousand","755"
"Overseas Visits to Ireland","Other Europe","2006Q4","Thousand","516"
"Overseas Visits to Ireland","Other Europe","2007Q1","Thousand","496"
"Overseas Visits to Ireland","Other Europe","2007Q2","Thousand","665"
"Overseas Visits to Ireland","Other Europe","2007Q3","Thousand","873"
"Overseas Visits to Ireland","Other Europe","2007Q4","Thousand","558"
"Overseas Visits to Ireland","Other Europe","2008Q1","Thousand","480"
"Overseas Visits to Ireland","Other Europe","2008Q2","Thousand","729"
"Overseas Visits to Ireland","Other Europe","2008Q3","Thousand","840"
"Overseas Visits to Ireland","Other Europe","2008Q4","Thousand","561"
"Overseas Visits to Ireland","USA and Canada","1985Q1","Thousand","28"
"Overseas Visits to Ireland","USA and Canada","1985Q2","Thousand","121"
"Overseas Visits to Ireland","USA and Canada","1985Q3","Thousand","194"
"Overseas Visits to Ireland","USA and Canada","1985Q4","Thousand","61"
"Overseas Visits to Ireland","USA and Canada","1986Q1","Thousand","32"
"Overseas Visits to Ireland","USA and Canada","1986Q2","Thousand","93"
"Overseas Visits to Ireland","USA and Canada","1986Q3","Thousand","148"
"Overseas Visits to Ireland","USA and Canada","1986Q4","Thousand","54"
"Overseas Visits to Ireland","USA and Canada","1987Q1","Thousand","37"
"Overseas Visits to Ireland","USA and Canada","1987Q2","Thousand","108"
"Overseas Visits to Ireland","USA and Canada","1987Q3","Thousand","178"
"Overseas Visits to Ireland","USA and Canada","1987Q4","Thousand","59"
"Overseas Visits to Ireland","USA and Canada","1988Q1","Thousand","44"
"Overseas Visits to Ireland","USA and Canada","1988Q2","Thousand","101"
"Overseas Visits to Ireland","USA and Canada","1988Q3","Thousand","177"
"Overseas Visits to Ireland","USA and Canada","1988Q4","Thousand","79"
"Overseas Visits to Ireland","USA and Canada","1989Q1","Thousand","48"
"Overseas Visits to Ireland","USA and Canada","1989Q2","Thousand","114"
"Overseas Visits to Ireland","USA and Canada","1989Q3","Thousand","182"
"Overseas Visits to Ireland","USA and Canada","1989Q4","Thousand","73"
"Overseas Visits to Ireland","USA and Canada","1990Q1","Thousand","53"
"Overseas Visits to Ireland","USA and Canada","1990Q2","Thousand","126"
"Overseas Visits to Ireland","USA and Canada","1990Q3","Thousand","186"
"Overseas Visits to Ireland","USA and Canada","1990Q4","Thousand","68"
"Overseas Visits to Ireland","USA and Canada","1991Q1","Thousand","33"
"Overseas Visits to Ireland","USA and Canada","1991Q2","Thousand","95"
"Overseas Visits to Ireland","USA and Canada","1991Q3","Thousand","150"
"Overseas Visits to Ireland","USA and Canada","1991Q4","Thousand","64"
"Overseas Visits to Ireland","USA and Canada","1992Q1","Thousand","46"
"Overseas Visits to Ireland","USA and Canada","1992Q2","Thousand","116"
"Overseas Visits to Ireland","USA and Canada","1992Q3","Thousand","174"
"Overseas Visits to Ireland","USA and Canada","1992Q4","Thousand","69"
"Overseas Visits to Ireland","USA and Canada","1993Q1","Thousand","43"
"Overseas Visits to Ireland","USA and Canada","1993Q2","Thousand","107"
"Overseas Visits to Ireland","USA and Canada","1993Q3","Thousand","172"
"Overseas Visits to Ireland","USA and Canada","1993Q4","Thousand","75"
"Overseas Visits to Ireland","USA and Canada","1994Q1","Thousand","53"
"Overseas Visits to Ireland","USA and Canada","1994Q2","Thousand","128"
"Overseas Visits to Ireland","USA and Canada","1994Q3","Thousand","213"
"Overseas Visits to Ireland","USA and Canada","1994Q4","Thousand","80"
"Overseas Visits to Ireland","USA and Canada","1995Q1","Thousand","68"
"Overseas Visits to Ireland","USA and Canada","1995Q2","Thousand","175"
"Overseas Visits to Ireland","USA and Canada","1995Q3","Thousand","264"
"Overseas Visits to Ireland","USA and Canada","1995Q4","Thousand","109"
"Overseas Visits to Ireland","USA and Canada","1996Q1","Thousand","74"
"Overseas Visits to Ireland","USA and Canada","1996Q2","Thousand","212"
"Overseas Visits to Ireland","USA and Canada","1996Q3","Thousand","290"
"Overseas Visits to Ireland","USA and Canada","1996Q4","Thousand","126"
"Overseas Visits to Ireland","USA and Canada","1997Q1","Thousand","95"
"Overseas Visits to Ireland","USA and Canada","1997Q2","Thousand","242"
"Overseas Visits to Ireland","USA and Canada","1997Q3","Thousand","298"
"Overseas Visits to Ireland","USA and Canada","1997Q4","Thousand","129"
"Overseas Visits to Ireland","USA and Canada","1998Q1","Thousand","114"
"Overseas Visits to Ireland","USA and Canada","1998Q2","Thousand","245"
"Overseas Visits to Ireland","USA and Canada","1998Q3","Thousand","336"
"Overseas Visits to Ireland","USA and Canada","1998Q4","Thousand","159"
"Overseas Visits to Ireland","USA and Canada","1999Q1","Thousand","141"
"Overseas Visits to Ireland","USA and Canada","1999Q2","Thousand","264"
"Overseas Visits to Ireland","USA and Canada","1999Q3","Thousand","371"
"Overseas Visits to Ireland","USA and Canada","1999Q4","Thousand","167"
"Overseas Visits to Ireland","USA and Canada","2000Q1","Thousand","155"
"Overseas Visits to Ireland","USA and Canada","2000Q2","Thousand","295"
"Overseas Visits to Ireland","USA and Canada","2000Q3","Thousand","397"
"Overseas Visits to Ireland","USA and Canada","2000Q4","Thousand","195"
"Overseas Visits to Ireland","USA and Canada","2001Q1","Thousand","160"
"Overseas Visits to Ireland","USA and Canada","2001Q2","Thousand","273"
"Overseas Visits to Ireland","USA and Canada","2001Q3","Thousand","332"
"Overseas Visits to Ireland","USA and Canada","2001Q4","Thousand","148"
"Overseas Visits to Ireland","USA and Canada","2002Q1","Thousand","134"
"Overseas Visits to Ireland","USA and Canada","2002Q2","Thousand","239"
"Overseas Visits to Ireland","USA and Canada","2002Q3","Thousand","301"
"Overseas Visits to Ireland","USA and Canada","2002Q4","Thousand","174"
"Overseas Visits to Ireland","USA and Canada","2003Q1","Thousand","141"
"Overseas Visits to Ireland","USA and Canada","2003Q2","Thousand","254"
"Overseas Visits to Ireland","USA and Canada","2003Q3","Thousand","324"
"Overseas Visits to Ireland","USA and Canada","2003Q4","Thousand","185"
"Overseas Visits to Ireland","USA and Canada","2004Q1","Thousand","173"
"Overseas Visits to Ireland","USA and Canada","2004Q2","Thousand","275"
"Overseas Visits to Ireland","USA and Canada","2004Q3","Thousand","333"
"Overseas Visits to Ireland","USA and Canada","2004Q4","Thousand","196"
"Overseas Visits to Ireland","USA and Canada","2005Q1","Thousand","154"
"Overseas Visits to Ireland","USA and Canada","2005Q2","Thousand","272"
"Overseas Visits to Ireland","USA and Canada","2005Q3","Thousand","350"
"Overseas Visits to Ireland","USA and Canada","2005Q4","Thousand","178"
"Overseas Visits to Ireland","USA and Canada","2006Q1","Thousand","150"
"Overseas Visits to Ireland","USA and Canada","2006Q2","Thousand","312"
"Overseas Visits to Ireland","USA and Canada","2006Q3","Thousand","398"
"Overseas Visits to Ireland","USA and Canada","2006Q4","Thousand","196"
"Overseas Visits to Ireland","USA and Canada","2007Q1","Thousand","156"
"Overseas Visits to Ireland","USA and Canada","2007Q2","Thousand","319"
"Overseas Visits to Ireland","USA and Canada","2007Q3","Thousand","390"
"Overseas Visits to Ireland","USA and Canada","2007Q4","Thousand","208"
"Overseas Visits to Ireland","USA and Canada","2008Q1","Thousand","156"
"Overseas Visits to Ireland","USA and Canada","2008Q2","Thousand","312"
"Overseas Visits to Ireland","USA and Canada","2008Q3","Thousand","357"
"Overseas Visits to Ireland","USA and Canada","2008Q4","Thousand","179"
"Overseas Visits to Ireland","Other Areas","1985Q1","Thousand","9"
"Overseas Visits to Ireland","Other Areas","1985Q2","Thousand","20"
"Overseas Visits to Ireland","Other Areas","1985Q3","Thousand","33"
"Overseas Visits to Ireland","Other Areas","1985Q4","Thousand","16"
"Overseas Visits to Ireland","Other Areas","1986Q1","Thousand","11"
"Overseas Visits to Ireland","Other Areas","1986Q2","Thousand","20"
"Overseas Visits to Ireland","Other Areas","1986Q3","Thousand","30"
"Overseas Visits to Ireland","Other Areas","1986Q4","Thousand","16"
"Overseas Visits to Ireland","Other Areas","1987Q1","Thousand","9"
"Overseas Visits to Ireland","Other Areas","1987Q2","Thousand","17"
"Overseas Visits to Ireland","Other Areas","1987Q3","Thousand","27"
"Overseas Visits to Ireland","Other Areas","1987Q4","Thousand","13"
"Overseas Visits to Ireland","Other Areas","1988Q1","Thousand","11"
"Overseas Visits to Ireland","Other Areas","1988Q2","Thousand","20"
"Overseas Visits to Ireland","Other Areas","1988Q3","Thousand","32"
"Overseas Visits to Ireland","Other Areas","1988Q4","Thousand","18"
"Overseas Visits to Ireland","Other Areas","1989Q1","Thousand","17"
"Overseas Visits to Ireland","Other Areas","1989Q2","Thousand","27"
"Overseas Visits to Ireland","Other Areas","1989Q3","Thousand","40"
"Overseas Visits to Ireland","Other Areas","1989Q4","Thousand","24"
"Overseas Visits to Ireland","Other Areas","1990Q1","Thousand","20"
"Overseas Visits to Ireland","Other Areas","1990Q2","Thousand","33"
"Overseas Visits to Ireland","Other Areas","1990Q3","Thousand","43"
"Overseas Visits to Ireland","Other Areas","1990Q4","Thousand","22"
"Overseas Visits to Ireland","Other Areas","1991Q1","Thousand","15"
"Overseas Visits to Ireland","Other Areas","1991Q2","Thousand","28"
"Overseas Visits to Ireland","Other Areas","1991Q3","Thousand","34"
"Overseas Visits to Ireland","Other Areas","1991Q4","Thousand","24"
"Overseas Visits to Ireland","Other Areas","1992Q1","Thousand","15"
"Overseas Visits to Ireland","Other Areas","1992Q2","Thousand","30"
"Overseas Visits to Ireland","Other Areas","1992Q3","Thousand","41"
"Overseas Visits to Ireland","Other Areas","1992Q4","Thousand","24"
"Overseas Visits to Ireland","Other Areas","1993Q1","Thousand","16"
"Overseas Visits to Ireland","Other Areas","1993Q2","Thousand","30"
"Overseas Visits to Ireland","Other Areas","1993Q3","Thousand","47"
"Overseas Visits to Ireland","Other Areas","1993Q4","Thousand","30"
"Overseas Visits to Ireland","Other Areas","1994Q1","Thousand","20"
"Overseas Visits to Ireland","Other Areas","1994Q2","Thousand","39"
"Overseas Visits to Ireland","Other Areas","1994Q3","Thousand","60"
"Overseas Visits to Ireland","Other Areas","1994Q4","Thousand","31"
"Overseas Visits to Ireland","Other Areas","1995Q1","Thousand","27"
"Overseas Visits to Ireland","Other Areas","1995Q2","Thousand","48"
"Overseas Visits to Ireland","Other Areas","1995Q3","Thousand","73"
"Overseas Visits to Ireland","Other Areas","1995Q4","Thousand","41"
"Overseas Visits to Ireland","Other Areas","1996Q1","Thousand","23"
"Overseas Visits to Ireland","Other Areas","1996Q2","Thousand","45"
"Overseas Visits to Ireland","Other Areas","1996Q3","Thousand","72"
"Overseas Visits to Ireland","Other Areas","1996Q4","Thousand","34"
"Overseas Visits to Ireland","Other Areas","1997Q1","Thousand","24"
"Overseas Visits to Ireland","Other Areas","1997Q2","Thousand","56"
"Overseas Visits to Ireland","Other Areas","1997Q3","Thousand","83"
"Overseas Visits to Ireland","Other Areas","1997Q4","Thousand","38"
"Overseas Visits to Ireland","Other Areas","1998Q1","Thousand","30"
"Overseas Visits to Ireland","Other Areas","1998Q2","Thousand","56"
"Overseas Visits to Ireland","Other Areas","1998Q3","Thousand","84"
"Overseas Visits to Ireland","Other Areas","1998Q4","Thousand","45"
"Overseas Visits to Ireland","Other Areas","1999Q1","Thousand","36"
"Overseas Visits to Ireland","Other Areas","1999Q2","Thousand","57"
"Overseas Visits to Ireland","Other Areas","1999Q3","Thousand","87"
"Overseas Visits to Ireland","Other Areas","1999Q4","Thousand","54"
"Overseas Visits to Ireland","Other Areas","2000Q1","Thousand","38"
"Overseas Visits to Ireland","Other Areas","2000Q2","Thousand","68"
"Overseas Visits to Ireland","Other Areas","2000Q3","Thousand","96"
"Overseas Visits to Ireland","Other Areas","2000Q4","Thousand","55"
"Overseas Visits to Ireland","Other Areas","2001Q1","Thousand","43"
"Overseas Visits to Ireland","Other Areas","2001Q2","Thousand","75"
"Overseas Visits to Ireland","Other Areas","2001Q3","Thousand","92"
"Overseas Visits to Ireland","Other Areas","2001Q4","Thousand","49"
"Overseas Visits to Ireland","Other Areas","2002Q1","Thousand","45"
"Overseas Visits to Ireland","Other Areas","2002Q2","Thousand","63"
"Overseas Visits to Ireland","Other Areas","2002Q3","Thousand","86"
"Overseas Visits to Ireland","Other Areas","2002Q4","Thousand","52"
"Overseas Visits to Ireland","Other Areas","2003Q1","Thousand","37"
"Overseas Visits to Ireland","Other Areas","2003Q2","Thousand","58"
"Overseas Visits to Ireland","Other Areas","2003Q3","Thousand","95"
"Overseas Visits to Ireland","Other Areas","2003Q4","Thousand","60"
"Overseas Visits to Ireland","Other Areas","2004Q1","Thousand","53"
"Overseas Visits to Ireland","Other Areas","2004Q2","Thousand","89"
"Overseas Visits to Ireland","Other Areas","2004Q3","Thousand","105"
"Overseas Visits to Ireland","Other Areas","2004Q4","Thousand","70"
"Overseas Visits to Ireland","Other Areas","2005Q1","Thousand","49"
"Overseas Visits to Ireland","Other Areas","2005Q2","Thousand","74"
"Overseas Visits to Ireland","Other Areas","2005Q3","Thousand","100"
"Overseas Visits to Ireland","Other Areas","2005Q4","Thousand","62"
"Overseas Visits to Ireland","Other Areas","2006Q1","Thousand","47"
"Overseas Visits to Ireland","Other Areas","2006Q2","Thousand","82"
"Overseas Visits to Ireland","Other Areas","2006Q3","Thousand","113"
"Overseas Visits to Ireland","Other Areas","2006Q4","Thousand","71"
"Overseas Visits to Ireland","Other Areas","2007Q1","Thousand","54"
"Overseas Visits to Ireland","Other Areas","2007Q2","Thousand","81"
"Overseas Visits to Ireland","Other Areas","2007Q3","Thousand","113"
"Overseas Visits to Ireland","Other Areas","2007Q4","Thousand","69"
"Overseas Visits to Ireland","Other Areas","2008Q1","Thousand","57"
"Overseas Visits to Ireland","Other Areas","2008Q2","Thousand","95"
"Overseas Visits to Ireland","Other Areas","2008Q3","Thousand","126"
"Overseas Visits to Ireland","Other Areas","2008Q4","Thousand","73"
